,id_left,lat,lon
153799,7459987c9dcdc5364394ea48f4176a4d00cf95a8,-34.581999265,-58.4304337958
154143,e34c5d03e0e9ac4ac1d0087f9bad07b9ec44848d,-34.5818662109,-58.4300302575
155220,e6059223ab036519987d70d53f60e77a44400c4c,-34.5818662109,-58.4300302575
155530,3af58d4c368318b2aa89b644316ccae74127c9c3,-34.5802112239,-58.4301267798
155532,ba5088f6afe5e44864b5d4cd96d533ad65db8b68,-34.5802112239,-58.4301267798
155541,500b25955f26bc3b8a90e7ccd7932b62baf1e176,-34.5802112239,-58.4301267798
156711,4a3d62c3227670a08932cb60d2e8f1842ac48b28,-34.5817221113,-58.4307504154
156713,5cf18db966a36568b67894fca921a0ef79f6fbef,-34.5816796013,-58.430739601499994
157264,1460807bc69f3bead21e73017f0dd5c9e6499fe6,-34.581686499999996,-58.4308266
161244,dbca17e0a3ad9086561ed63963dd697fe16cdb79,-34.5811829996,-58.431007108500005
166368,a4d274889a79ad8e1eee782e568581f8c0cb2c8d,-34.5819959321,-58.432882434899994
167007,79cb701357c8d068f1a6ca6f10e0119801c41e10,-34.5819959321,-58.432882434899994
167008,c730dc17e9dc14a000337f2f7ec1c8566ec66df6,-34.5819959321,-58.432882434899994
168345,776fd927500f5e4c036c518b8babe8f4278f4ecd,-34.5819624079,-58.4322094122
172173,15301f1a60cdb6594d497dced6d30ec0c9fdd491,-34.581686499999996,-58.4308266
175793,617d8928072bb26918bd47a01bcdb6a0561ea94a,-34.5801638,-58.430026
177642,371b5c65b70dfbf9b860bd373b82ed6ee79b1d71,-34.581686499999996,-58.4308266
196514,1392f879df777ed11cb01311f81055671cf5b34c,-34.5808622671,-58.431225618999996
201280,abbd1408ab9a531d036cd18d389fecbd1f2d27c4,-34.5820687,-58.43217779999999
202907,a77d830e9275a9941bcd0273d2c6384f09efe9a2,-34.5808250982,-58.431429863000005
203467,11ae2046015049f1af2548891dadf3ee604273a3,-34.5801638,-58.430026
205212,be244dc4428b84499fb4e689e6eaa03d1c16d641,-34.5819959321,-58.432882434899994
205215,cae6c40942436d95431dad5f7b1c3bcbf792a31a,-34.5819959321,-58.432882434899994
205216,ec0532082d9f2ffd28b9a5557629faaaaf6ae576,-34.5819959321,-58.432882434899994
