,id,created_on,property_type,lat,lon,local price,usd price,barrio,commune
12116,b441448da19f661169b44f0ed9cfde48aab91398,4/30/2015,store,-34.615887,-58.4957794,2327.04,134.71,33,10
15613,b441448da19f661169b44f0ed9cfde48aab91398,4/30/2015,store,-34.615887,-58.4957794,2327.04,134.71,33,10
12208,cf99ebb4067a6991b8bf982bc83af5e1dd06781c,7/15/2015,store,-34.67921206,-58.49209297,2392,138.47,30,8
15714,cf99ebb4067a6991b8bf982bc83af5e1dd06781c,7/15/2015,store,-34.67921206,-58.49209297,2392,138.47,30,8
19336,cf99ebb4067a6991b8bf982bc83af5e1dd06781c,7/15/2015,store,-34.67921206,-58.49209297,2372.33,138.47,30,8
18103,a9c0c9e0c41c0ea98b966fab7180fea4c200f630,7/1/2015,store,-34.5749227,-58.5053879,2499.96,144.72,16,12
21889,a9c0c9e0c41c0ea98b966fab7180fea4c200f630,7/1/2015,store,-34.5749227,-58.5053879,2479.41,144.72,16,12
26239,a9c0c9e0c41c0ea98b966fab7180fea4c200f630,7/1/2015,store,-34.5749227,-58.5053879,2479.41,144.72,16,12
30771,a9c0c9e0c41c0ea98b966fab7180fea4c200f630,7/1/2015,store,-34.5749227,-58.5053879,2479.41,144.72,16,12
49681,a9c0c9e0c41c0ea98b966fab7180fea4c200f630,7/1/2015,store,-34.5749227,-58.5053879,2479.41,144.72,16,12
14496,a9c0c9e0c41c0ea98b966fab7180fea4c200f630,7/1/2015,store,-34.5749227,-58.5053879,2505.14,145.02,16,12
15258,ac00b72a3a1a9867102c69f7e753fa3c262d7f3c,3/3/2015,apartment,-34.6097502,-58.4018329,2599.98,150.51,4,3
18969,ac00b72a3a1a9867102c69f7e753fa3c262d7f3c,3/3/2015,apartment,-34.6097502,-58.4018329,2578.61,150.51,4,3
1638,ac00b72a3a1a9867102c69f7e753fa3c262d7f3c,3/3/2015,apartment,-34.6097502,-58.4018329,2605.34,150.82,4,3
3725,ac00b72a3a1a9867102c69f7e753fa3c262d7f3c,3/3/2015,apartment,-34.6097502,-58.4018329,2605.34,150.82,4,3
6180,ac00b72a3a1a9867102c69f7e753fa3c262d7f3c,3/3/2015,apartment,-34.6097502,-58.4018329,2605.34,150.82,4,3
8775,ac00b72a3a1a9867102c69f7e753fa3c262d7f3c,3/3/2015,apartment,-34.6097502,-58.4018329,2605.34,150.82,4,3
11761,ac00b72a3a1a9867102c69f7e753fa3c262d7f3c,3/3/2015,apartment,-34.6097502,-58.4018329,2605.34,150.82,4,3
12210,85ff55ae102442b9b5e242218d739c381aa7ba1b,7/29/2015,store,-34.6448396,-58.5002122,2619.85,151.66,17,10
15713,85ff55ae102442b9b5e242218d739c381aa7ba1b,7/29/2015,store,-34.6448396,-58.5002122,2619.85,151.66,17,10
19339,85ff55ae102442b9b5e242218d739c381aa7ba1b,7/29/2015,store,-34.6448396,-58.5002122,2598.31,151.66,17,10
23863,85ff55ae102442b9b5e242218d739c381aa7ba1b,7/29/2015,store,-34.6448396,-58.5002122,2598.31,151.66,17,10
