,b_id_,barrio_,price_aprox_local_currency_min,price_aprox_local_currency_max,price_aprox_local_currency_mean,price_aprox_local_currency_std,price_aprox_usd_min,price_aprox_usd_max,price_aprox_usd_mean,price_aprox_usd_std,created_on_count
18,19,FLORES,0.0,1307820.15,23817.598096385507,99286.94487991238,0.0,81900.0,1394.2304578313242,6038.85063579935,434
19,20,VERSAILLES,2004.01,90022.74,18340.27333333333,22738.6615546511,116.01,4696.79,1028.1543333333336,1215.9443468482834,30
20,21,LINIERS,0.0,249595.81,16714.755125,26140.561915693754,0.0,14177.15,966.2793749999998,1509.563409807133,169
21,22,VELEZ SARFIELD,0.0,80531.12,12907.811799999998,14515.240542542422,0.0,4661.85,758.9935999999997,858.7248233358415,107
22,23,VILLA DEVOTO,0.0,145584.96,14896.770564516137,19568.219980294776,0.0,7827.99,846.5677419354839,1083.1009436347904,260
23,24,BOCA,0.0,616192.5,28659.938227848095,59497.31566941981,0.0,35000.0,1687.6767721518977,3421.0434354005442,162
24,25,AGRONOMIA,0.0,86175.0,10955.837906976745,12993.562240439458,0.0,5000.0,638.3290697674418,763.6680120557684,43
25,26,CHACARITA,3719.54,346919.33,23793.591654135358,39046.16993908083,215.32,21725.23,1400.1840225563915,2362.595183480982,271
26,27,PATERNAL,3903.49,149757.49,23484.076562500017,31810.083513823305,244.45,8506.29,1322.226875000001,1794.6389917848448,65
27,28,COLEGIALES,0.0,334764.0,21650.517626112778,31528.825948158126,0.0,18897.04,1256.6787240356086,1839.624489756149,349
28,29,VILLA DEL PARQUE,0.0,1437165.0,18927.852031250008,103187.23983481964,0.0,90000.0,1120.2071354166665,6463.8902434573765,204
29,30,VILLA LUGANO,0.0,181054.36,16259.07346938775,32362.753503877902,0.0,11338.22,965.7066326530605,1925.2464222486763,98
30,31,VILLA SANTA RITA,0.0,34634.74,9273.031249999998,5216.516114793136,0.0,1962.92,531.0335576923079,293.29136278007695,105
31,32,BARRACAS,4208.49,312417.98,25863.239113300482,43261.99836625088,252.37,15911.28,1505.5946798029536,2472.29468226158,207
32,33,MONTE CASTRO,2327.04,549780.0,18780.585181818184,54090.10609591717,134.71,28000.0,1058.9156363636362,2792.816242067332,112
33,34,VILLA RIACHUELO,2758.73,22077.0,8648.597931034481,4131.098246113927,159.7,1124.37,489.0237931034484,209.88908282392856,29
34,35,RETIRO,0.0,777352.5,40348.267501976174,62467.1147017781,0.0,45000.0,2365.493920948617,3647.6571898539437,1306
35,36,MONTSERRAT,0.0,1041488.0,29923.836913319235,60466.77447018752,0.0,56000.0,1734.118520084566,3358.2812635297437,485
36,37,VILLA SOLDATI,7399.84,25250.5,12318.307499999999,8635.335961769237,425.89,1581.27,742.36,560.0432965405442,4
37,38,CONSTITUCION,0.0,625500.0,28314.557464788744,75856.23281854,0.0,36000.0,1639.2489436619715,4362.192429115132,151
38,39,BOEDO,0.0,227238.45,18373.663406593398,29916.943354639487,0.0,13263.59,1044.4824175824172,1685.2742631659823,98
39,40,PARQUE PATRICIOS,0.0,352890.0,38934.52681034485,54508.90009832142,0.0,20000.0,2216.0642241379314,3036.7440822474014,136
40,41,SAN TELMO,0.0,294909.05,21294.81231428574,27466.804819579444,0.0,17071.93,1245.7331142857142,1612.7368672239918,358
41,42,COGHLAN,1000.21,193660.5,16638.448383838382,23250.132197587245,50.94,11000.0,951.5313131313135,1312.359008416808,99
42,43,SAN NICOLAS,0.0,1760550.0,53572.08675334316,144017.03125008364,0.0,100000.0,3130.5476374442765,8356.88329204455,1439
43,44,RECOLETA,0.0,777352.5,29071.188965656504,44691.30548273888,0.0,45000.0,1696.9711555555557,2625.8753650309836,2572
44,45,VILLA REAL,4661.84,48281.07,14730.954848484846,11531.181185811507,283.54,3023.52,836.8445454545454,683.0471928154512,34
45,46,NUEVA POMPEYA,0.0,316899.0,36064.50136363635,70505.77552208849,0.0,18000.0,2089.841590909091,4037.076417474075,51
46,47,PARQUE CHAS,1297.88,83459.84,15328.995964912281,15223.08360885215,73.72,5226.53,874.878947368421,879.1144012232752,60
47,48,PUERTO MADERO,0.0,445114.28,54740.53511196911,39837.50952112181,0.0,25767.13,3259.563104247097,2351.5713378496357,1347
