,barrio_,price_aprox_local_currency_min,price_aprox_local_currency_max,price_aprox_local_currency_mean,price_aprox_local_currency_std,price_aprox_usd_min,price_aprox_usd_max,price_aprox_usd_mean,price_aprox_usd_std,Computer Percent_mean,Cellular Percent_mean,Rent Percent_mean,Immigration Percent_mean,Education Percent_mean,Owner Percent_mean,created_on_count
37,VILLA DEVOTO,0.0,145584.96,13597.875723577245,16494.53811816183,0.0,7827.99,781.6995447154455,916.467588605094,74.62514792899398,87.65221893491152,19.178550295857963,7.542455621301777,36.54082840236681,69.9282544378698,676
38,VILLA GRAL. MITRE,4499.95,98956.7,15810.438232558123,13563.071988803085,258.99,5608.36,930.605488372093,783.4985295476831,69.0794759825328,87.41179039301299,28.394759825327533,10.958515283842784,28.421397379912687,55.82139737991267,229
39,VILLA LUGANO,0.0,183907.5,15035.927995110032,30541.63404412437,0.0,11338.22,903.2776772616131,1857.992318027513,55.83056234718837,84.37726161369184,19.4914425427873,15.626894865525722,11.737408312958452,67.22787286063557,409
40,VILLA LURO,0.0,529335.0,32456.068710691805,87329.35392519705,0.0,30000.0,1917.4749685534596,5085.964907055046,66.87515527950316,85.79409937888236,23.35279503105592,10.705590062111781,25.87142857142851,65.24937888198755,322
41,VILLA ORTUZAR,0.0,237583.5,27398.87948087429,35504.394119150595,0.0,12100.0,1596.4302459016376,2077.5552992053194,74.81203208556151,89.03475935828901,25.84090909090914,9.556951871657766,37.874331550802076,59.309625668449236,374
42,VILLA PUEYRREDON,0.0,123511.5,10529.03907894736,10854.865953610017,0.0,7000.0,602.3645175438597,622.313122915329,70.9229787234044,86.45999999999997,22.376595744680856,7.436170212765958,31.168510638297914,68.22936170212759,235
43,VILLA REAL,4661.84,48281.07,16357.899746835446,13295.42332096766,254.95,3023.52,966.2182278481008,809.1297169177407,66.68,84.73999999999994,21.448750000000004,9.507499999999991,25.06250000000002,67.54375000000002,80
44,VILLA RIACHUELO,2758.73,22077.0,7236.041651376144,3072.1583565716146,159.7,1124.37,415.4566972477062,166.42649385136218,61.75229357798161,82.17431192660553,24.125688073394482,12.753211009174311,17.157798165137585,65.99449541284405,109
45,VILLA SANTA RITA,0.0,69999.88,9699.202016460911,7743.222348828928,0.0,4028.77,559.5634156378596,440.5915252974177,68.91224489795904,86.2571428571428,26.474285714285678,11.143673469387734,26.777142857142884,63.265714285714196,245
46,VILLA SOLDATI,7372.49,25250.5,17298.744545454545,9142.385627445787,419.64,1581.27,1065.5863636363638,592.8563496205928,50.77272727272727,77.59090909090908,22.80909090909091,26.272727272727273,7.436363636363637,65.24545454545455,11
47,VILLA URQUIZA,0.0,1209215.0,30792.78410652923,97726.9666297358,0.0,70000.0,1789.1715721649477,5677.726469518126,74.82387806943272,89.15952582557107,26.283319220999246,7.70770533446231,39.93175275190543,57.995342929720834,1181
