,barrio_,month_,year_,price_aprox_local_currency_min,price_aprox_local_currency_max,price_aprox_local_currency_mean,price_aprox_local_currency_std,price_aprox_usd_min,price_aprox_usd_max,price_aprox_usd_mean,price_aprox_usd_std,created_on_count
1691,VILLA LUGANO,5,2015,599637.5,3973135.0,1481880.2166666666,852200.3962449474,35000.0,230000.0,86033.33333333333,49345.19249733321,60
1692,VILLA LUGANO,5,2016,670677.0,3992125.0,2162020.839285714,1482532.9812862824,42000.0,250000.0,135392.85714285713,92841.09223072189,14
1693,VILLA LUGANO,5,2017,574866.0,5646240.0,2018625.3921161825,1019426.3727648326,36000.0,320000.0,120282.15767634855,60296.103152069765,261
1694,VILLA LUGANO,6,2015,380039.0,14251462.5,4612014.632352941,5019431.526182055,22000.0,825000.0,268205.8823529412,291960.0200330222,34
1695,VILLA LUGANO,6,2016,1006015.5,6850486.5,1879551.5925925926,1597886.4787651354,63000.0,429000.0,117703.70370370371,100064.90770987475,27
1696,VILLA LUGANO,6,2017,116769.0,5205127.5,2130931.65210084,1113560.9802003717,6617.87,310000.0,124947.60201680673,64845.671545494486,119
1697,VILLA LUGANO,7,2015,638740.0,3800390.0,1854800.037037037,1039612.5988176304,40000.0,220000.0,108518.51851851853,60863.51596089641,56
1698,VILLA LUGANO,7,2016,1269495.75,2554960.0,1888492.8772727272,294763.347949474,79500.0,160000.0,118263.63636363637,18459.050502518956,25
1699,VILLA LUGANO,7,2017,882225.0,44013750.0,3232183.1405737707,4053632.660418616,50000.0,2500000.0,183581.96721311475,230203.7498586647,124
1700,VILLA LUGANO,8,2015,1113612.5,1174666.0,1141672.0,27875.097588554367,65000.0,68000.0,66500.0,1603.5674514745458,8
1701,VILLA LUGANO,8,2016,798425.0,2538991.5,1483296.2222222222,733138.3875133756,50000.0,159000.0,92888.88888888889,45911.53755915556,25
1702,VILLA LUGANO,8,2017,3102300.0,3534300.0,3232620.0,173297.1629311917,180000.0,180000.0,180000.0,0.0,6
1703,VILLA LUGANO,9,2014,742803.5,6737055.0,3617280.3,2762350.453934608,43000.0,390000.0,209400.0,159909.14086859865,10
1704,VILLA LUGANO,9,2015,876670.65,2655537.5,1233433.490909091,703512.2478439201,53000.0,155000.0,72754.54545454546,40670.14540510923,11
1705,VILLA LUGANO,9,2016,750519.5,3992125.0,2133657.7416666667,1140330.0763519793,47000.0,250000.0,133616.66666666666,71411.22061257972,67
1706,VILLA LUGANO,9,2017,810045.0,5497800.0,2435595.0975652174,1405565.8893975413,47000.0,280000.0,136199.94782608695,77892.43958119125,133
1707,VILLA LUGANO,10,2014,777352.5,1727450.0,1250961.7083333333,404684.651987505,45000.0,100000.0,72416.66666666667,23426.707110915228,12
1708,VILLA LUGANO,10,2015,766488.0,2826862.5,1790496.9714285713,849759.8752377048,48000.0,165000.0,107614.28571428571,51093.92611372008,21
1709,VILLA LUGANO,10,2016,0.0,6147872.5,2612055.534693878,1528562.705863964,0.0,385000.0,163575.51020408163,95723.62500322283,105
1710,VILLA LUGANO,10,2017,117809.14,5988675.0,2093134.6537755101,1277326.930804937,6691.61,305000.0,116248.42658163265,70217.4727263282,239
1711,VILLA LUGANO,11,2014,811901.5,3714017.5,2361999.966666667,1054599.4645864884,47000.0,215000.0,136733.33333333334,61049.49287021265,24
1712,VILLA LUGANO,11,2015,878267.5,3769150.0,1109853.7333333334,736468.6778518503,55000.0,220000.0,66933.33333333333,42356.424148724676,15
1713,VILLA LUGANO,11,2016,574866.0,3992125.0,2142653.33,1068099.8544554205,36000.0,250000.0,134180.0,66887.92650877795,182
1714,VILLA LUGANO,11,2017,706635.0,4025175.0,1965368.7605633803,919846.0759180653,41000.0,225000.0,108852.11267605633,50913.04873200114,73
1715,VILLA LUGANO,12,2014,4318625.0,4318625.0,4318625.0,0.0,250000.0,250000.0,250000.0,0.0,6
1716,VILLA LUGANO,12,2015,878267.5,942287.5,899112.5,28270.219357125618,52000.0,55000.0,54500.0,1224.744871391589,6
1717,VILLA LUGANO,12,2016,990047.0,6147872.5,2518510.163043478,1559584.6637106289,62000.0,385000.0,157717.39130434784,97666.32205345704,99
1718,VILLA LUGANO,12,2017,967096.0,5105100.0,2590126.263157895,1024042.6225021548,52000.0,260000.0,135771.9298245614,53344.573142066416,60
1719,VILLA LURO,1,2015,1088293.5,3109410.0,1882920.5,769788.9574097682,63000.0,180000.0,109000.0,44562.155628803615,29
1720,VILLA LURO,1,2016,1116198.15,2847481.0,1935618.542105263,655939.7674082863,69900.0,169000.0,120463.15789473684,40598.94922732081,19
1721,VILLA LURO,1,2017,0.0,5817700.0,2825337.95,1353120.4252123307,0.0,350000.0,176107.40740740742,84038.87207457474,62
1722,VILLA LURO,1,2018,1335180.0,13744500.0,3398247.065584415,2570149.565856022,68000.0,700000.0,173070.89714285717,130896.33643837404,99
1723,VILLA LURO,2,2015,214999.98,3023037.5,1619210.0414285713,1456820.6066354555,12446.09,175000.0,93734.11928571432,84333.59022727187,14
1724,VILLA LURO,2,2016,1117795.0,5037851.0,2644735.116883117,997374.8384378274,70000.0,299000.0,164149.35064935064,61542.7784967425,84
1725,VILLA LURO,2,2017,1101826.5,13812752.5,2649637.121794872,2541468.320620439,69000.0,865000.0,164970.08547008547,159180.21789726333,130
1726,VILLA LURO,2,2018,1335180.0,2356200.0,1845690.0,721970.1657270888,68000.0,120000.0,94000.0,36769.55262170047,2
1727,VILLA LURO,3,2015,0.0,3748566.5,1686193.076923077,1215415.3909311886,0.0,217000.0,97692.30769230769,70395.32327123398,26
1728,VILLA LURO,3,2016,1197637.5,8424500.0,2855113.862980769,1949351.8636526617,75000.0,500000.0,177009.61538461538,120878.07748051181,104
1729,VILLA LURO,3,2017,0.0,5822685.0,2445945.4930131,1184183.775222919,0.0,350000.0,150464.19213973798,72099.34442530951,258
1730,VILLA LURO,4,2015,0.0,9500975.0,2022329.6996855347,2404935.144309455,0.0,550000.0,117298.74213836477,139535.24938592603,180
1731,VILLA LURO,4,2016,0.0,6850486.5,1669363.6735074627,1400154.6854942655,0.0,429000.0,104541.04477611941,87682.29235646842,141
1732,VILLA LURO,4,2017,0.0,17997390.0,3578724.5491228076,3288007.7464077505,0.0,1020000.0,214483.04093567253,196363.77617333413,212
1733,VILLA LURO,5,2015,0.0,6875251.0,2579081.333980582,1635658.9927098544,0.0,398000.0,149681.55339805825,94886.60492209492,117
1734,VILLA LURO,5,2016,0.0,8463305.0,2317331.456756757,1498559.3748457464,0.0,530000.0,145118.9189189189,93844.7177158622,229
1735,VILLA LURO,5,2017,926173.0,69695775.0,4636228.482941176,10858834.62690616,58000.0,3950000.0,277777.64705882355,648829.167052545,170
1736,VILLA LURO,6,2015,0.0,3886762.5,2109679.9714285713,1166775.6202290617,0.0,225000.0,122571.42857142857,67846.83689982106,35
1737,VILLA LURO,6,2016,979346.34,5588975.0,2413307.435522388,1640615.8609716399,61329.89,350000.0,151129.2504477612,102740.76217224135,74
1738,VILLA LURO,6,2017,910204.5,9457918.0,2432601.783962264,1563532.8903114516,55000.0,569000.0,143718.8679245283,93232.66861864364,106
1739,VILLA LURO,7,2014,1295587.5,3195782.5,2307873.2,943763.3410056782,75000.0,185000.0,133600.0,54633.32316453027,5
1740,VILLA LURO,7,2015,1036470.0,1554705.0,1339738.8333333333,169351.15229391083,60000.0,90000.0,78333.33333333333,10277.314260340445,24
1741,VILLA LURO,7,2016,1101826.5,8463305.0,2993479.576923077,2108258.2055874113,69000.0,530000.0,187461.53846153847,132026.06416303414,78
1742,VILLA LURO,7,2017,792810.0,70578000.0,3816292.852227978,6222084.287891344,46000.0,4000000.0,216686.56502590672,354028.7210299928,397
1743,VILLA LURO,8,2014,1019195.5,4318625.0,2649716.361111111,1302810.986026254,59000.0,250000.0,153388.88888888888,75418.15890626381,18
1744,VILLA LURO,8,2015,0.0,3420351.0,1632408.933043478,669857.0932241983,0.0,198000.0,96444.65456521738,39132.40708697735,94
1745,VILLA LURO,8,2016,0.0,5269605.0,2995944.9125,1331967.8322845108,0.0,330000.0,187615.92592592593,83412.20733669329,115
1746,VILLA LURO,8,2017,2068200.0,6283200.0,3579287.3,1519754.7990029543,120000.0,320000.0,199700.0,83715.11842332648,20
1747,VILLA LURO,9,2014,0.0,3213057.0,1388324.2894736843,770693.4864791932,0.0,186000.0,80368.42105263157,44614.51772723919,38
1748,VILLA LURO,9,2015,990047.0,5996375.0,1832346.9684210524,1158783.8185811278,62000.0,350000.0,108226.31578947368,67099.22041363044,26
1749,VILLA LURO,9,2016,1117795.0,5429290.0,2399126.2264705882,1290906.4082804339,70000.0,340000.0,150241.17647058822,80840.80585405226,68
1750,VILLA LURO,9,2017,1112000.0,8246700.0,2714644.816521739,1505541.8640554452,64000.0,420000.0,152515.69898550725,83438.88822360024,139
1751,VILLA LURO,10,2014,1261038.5,2332057.5,1932584.6875,295341.64283628867,73000.0,135000.0,111875.0,17096.97200129026,36
1752,VILLA LURO,10,2015,0.0,9936850.0,2619901.0755813955,2521608.2486904613,0.0,580000.0,157581.39534883722,151882.88561886243,86
1753,VILLA LURO,10,2016,862299.0,11497320.0,3266909.4307692307,2702960.464674758,54000.0,720000.0,204584.61538461538,169268.27596046947,202
1754,VILLA LURO,10,2017,279547.35,77558250.0,3917663.0892105284,7366354.879552405,15878.41,3950000.0,217641.66317982457,406681.1917518425,521
1755,VILLA LURO,11,2014,305370.14,5182350.0,2413463.6173913046,1915541.0907934485,17677.51,300000.0,139712.50217391303,110888.36661952178,23
1756,VILLA LURO,11,2015,0.0,5962110.0,2372012.177777778,1973721.113448869,0.0,348000.0,143711.11111111112,119655.87441838485,45
1757,VILLA LURO,11,2016,0.0,6387400.0,2180946.5719512193,1411642.4120313579,0.0,400000.0,136578.0487804878,88401.69158226246,212
1758,VILLA LURO,11,2017,1370182.5,13744500.0,3185013.8235294116,2276056.6094862646,75000.0,700000.0,176105.04201680672,125327.94056485184,127
1759,VILLA LURO,12,2014,1174666.0,3454900.0,2267823.635526316,821911.5367663088,68000.0,200000.0,131281.57894736843,47579.46897254965,38
1760,VILLA LURO,12,2015,974078.5,4557245.0,2062488.7063492064,962501.2715321957,61000.0,266000.0,126825.39682539682,59024.199433720416,63
1761,VILLA LURO,12,2016,0.0,7904407.5,2381323.0349358968,1739801.4327883322,0.0,495000.0,149126.28205128206,108952.08897443926,163
1762,VILLA LURO,12,2017,836910.0,19242300.0,3760274.705405406,2904373.3290709686,45000.0,980000.0,197210.8108108108,151699.36343909532,74
1763,VILLA ORTUZAR,1,2015,1537430.5,1537430.5,1537430.5,0.0,89000.0,89000.0,89000.0,0.0,8
1764,VILLA ORTUZAR,1,2016,798425.0,22746150.0,4453082.565789473,6915304.810576362,50000.0,1350000.0,275921.05263157893,428165.248572731,38
1765,VILLA ORTUZAR,1,2017,0.0,25549600.0,3219868.031219512,4494196.47757573,0.0,1600000.0,201198.29268292684,281467.73367170105,82
1766,VILLA ORTUZAR,1,2018,1140518.61,21598500.0,4714298.72974026,4215688.390050024,58086.0,1100000.0,240096.7012987013,214702.74459409816,95
1767,VILLA ORTUZAR,2,2015,0.0,3541272.5,2048032.5813953488,1521077.8792956444,0.0,205000.0,118558.13953488372,88053.3664821352,43
1768,VILLA ORTUZAR,2,2016,0.0,5897150.0,1381067.7374074075,1987656.8787441228,0.0,350000.0,85564.44444444444,123307.86336869786,54
1769,VILLA ORTUZAR,2,2017,0.0,38817900.0,8205829.56407767,10421429.999104166,0.0,2200000.0,504536.8932038835,638100.2817786084,130
1770,VILLA ORTUZAR,2,2018,17651865.0,17651865.0,17651865.0,0.0,899000.0,899000.0,899000.0,0.0,1
1771,VILLA ORTUZAR,3,2015,0.0,3195782.5,2578112.3928571427,888247.9281386039,0.0,185000.0,149357.14285714287,51433.48686827067,21
1772,VILLA ORTUZAR,3,2016,798425.0,11794300.0,4144782.887692308,3176600.50943156,50000.0,700000.0,256069.11538461538,196035.43641329528,52
1773,VILLA ORTUZAR,3,2017,1325385.5,13297600.0,2852967.1242474914,1918813.0524584847,83000.0,800000.0,175807.42140468227,118601.24205780492,299
1774,VILLA ORTUZAR,4,2015,0.0,112284250.0,8681765.009459458,22184090.393802125,0.0,6500000.0,503575.6756756757,1287164.0913443845,185
1775,VILLA ORTUZAR,4,2016,0.0,18363775.0,3836171.7689130437,4314947.850490114,0.0,1150000.0,240233.69565217392,270216.2288531956,92
1776,VILLA ORTUZAR,4,2017,1197637.5,9142100.0,3266409.807380953,2309290.840443656,75000.0,550000.0,200772.22619047618,142140.51371144346,99
1777,VILLA ORTUZAR,5,2015,1199275.0,32821550.0,3421999.057142857,6289052.929013739,70000.0,1900000.0,198228.57142857142,364022.62118865637,70
1778,VILLA ORTUZAR,5,2016,0.0,7345510.0,2554227.445,1745393.9536181407,0.0,460000.0,159954.125,109302.31102466006,24
1779,VILLA ORTUZAR,5,2017,1261511.5,7812340.0,3292299.822638889,1557302.0653824033,79000.0,470000.0,200974.673125,95533.10419865327,146
1780,VILLA ORTUZAR,6,2015,1284937.5,7168917.5,3090232.037037037,2482763.2233149437,75000.0,415000.0,179629.62962962964,144428.08914637394,27
1781,VILLA ORTUZAR,6,2016,1377283.12,27944875.0,4047827.6185937505,5705789.666607764,86250.0,1750000.0,253488.28125,357315.3186803858,64
1782,VILLA ORTUZAR,6,2017,1117795.0,28168800.0,4515192.155632185,5524974.341427008,70000.0,1600000.0,266195.4022988506,319181.6299057842,89
1783,VILLA ORTUZAR,7,2014,0.0,4836860.0,2894219.0857142857,1763617.8415256427,0.0,280000.0,167542.85714285713,102093.71278622495,7
1784,VILLA ORTUZAR,7,2015,0.0,11919405.0,3164401.954918033,3311619.365215995,0.0,690000.0,185418.03278688525,194672.67785370455,61
1785,VILLA ORTUZAR,7,2016,814393.5,11098107.5,3849860.1818181816,3050882.318226612,51000.0,695000.0,241090.9090909091,191056.28695410414,77
1786,VILLA ORTUZAR,7,2017,1146892.5,120887000.0,8839768.734102564,20899631.57972786,65000.0,6500000.0,500742.56905982905,1181164.1880817893,238
1787,VILLA ORTUZAR,8,2014,1286950.25,7773525.0,3145848.3984375,1933226.8293875551,74500.0,450000.0,182109.375,111912.17282049001,32
1788,VILLA ORTUZAR,8,2015,1857008.75,28502925.0,13440538.984375,13052874.067159142,107500.0,1650000.0,798593.75,775595.4533722246,16
1789,VILLA ORTUZAR,8,2016,0.0,21477632.5,5900859.765625,6907346.741792398,0.0,1345000.0,369531.25,432560.7753885712,64
1790,VILLA ORTUZAR,8,2017,1637325.0,6695280.0,3724409.2225,1919834.0455609383,95000.0,370000.0,211335.0,109152.32849458355,20
1791,VILLA ORTUZAR,9,2014,1312862.0,13819600.0,3646359.0416666665,4655413.767350249,76000.0,800000.0,211083.33333333334,269496.2961214651,24
1792,VILLA ORTUZAR,9,2015,1037952.5,3940475.0,2205353.6615384617,915461.8520874113,65000.0,230000.0,130923.07692307692,53410.06099401698,65
1793,VILLA ORTUZAR,9,2016,0.0,10666958.0,2859450.2613636362,2190190.1486646784,0.0,668000.0,179068.18181818182,137156.91196196756,51
1794,VILLA ORTUZAR,9,2017,1112000.0,25329150.0,4450767.95540609,4283058.112720841,64000.0,1290000.0,249693.1431725888,236365.88560593463,397
1795,VILLA ORTUZAR,10,2014,2712096.5,2712096.5,2712096.5,0.0,157000.0,157000.0,157000.0,0.0,4
1796,VILLA ORTUZAR,10,2015,1405228.0,15419250.0,4184943.932112676,3540977.46898947,88000.0,900000.0,251208.79450704224,211839.81805029005,71
1797,VILLA ORTUZAR,10,2016,1389259.5,26348025.0,6697354.091379311,8174941.264445695,87000.0,1650000.0,419410.3448275862,511941.7142778404,29
1798,VILLA ORTUZAR,10,2017,806891.0,20616750.0,3925863.4674204946,3568164.5337918657,46817.0,1050000.0,218418.2296819788,196884.07542199368,299
1799,VILLA ORTUZAR,11,2014,0.0,4277106.6,1956689.688030303,1143607.3640034578,0.0,247596.55,113270.40954545446,66202.05296400492,66
1800,VILLA ORTUZAR,11,2015,2381417.5,5739387.5,4550785.083333333,926067.9468424012,139000.0,335000.0,276158.3333333333,57370.57961880027,24
1801,VILLA ORTUZAR,11,2016,1004418.65,17565350.0,2647829.05563063,2945601.899628404,62900.0,1100000.0,165815.76576576577,184463.28081087166,222
1802,VILLA ORTUZAR,11,2017,1017485.46,35343000.0,3510658.840459362,4801955.221968325,59036.0,1800000.0,194828.8339222615,265946.00465648825,283
1803,VILLA ORTUZAR,12,2014,1209215.0,3650988.37,2095605.7552380948,776856.0585336258,70000.0,211351.32,121312.09333333331,44971.26172902217,21
1804,VILLA ORTUZAR,12,2015,1197637.5,4334522.5,1879453.8096428572,613450.9258061707,75000.0,253000.0,114321.07142857143,36015.631209269624,28
1805,VILLA ORTUZAR,12,2016,0.0,25549600.0,3162887.569515152,3793485.1580032157,0.0,1600000.0,198070.42424242425,237560.5196482585,165
1806,VILLA ORTUZAR,12,2017,1188412.2,26310900.0,6718999.462499999,6325218.572066379,63900.0,1350000.0,352103.5714285714,330604.67794319254,56
1807,VILLA PUEYRREDON,1,2015,604607.5,3092135.5,1884200.0925925926,944146.6545668165,35000.0,179000.0,109074.07407407407,54655.51272493079,27
1808,VILLA PUEYRREDON,1,2016,926173.0,4970455.0,2434628.3311688313,1060993.036491106,58000.0,295000.0,151240.25974025973,65599.8942147339,77
1809,VILLA PUEYRREDON,1,2017,0.0,29919600.0,8631096.777894737,9772697.373908741,0.0,1800000.0,537567.3684210526,608222.1522413038,95
1810,VILLA PUEYRREDON,1,2018,1374450.0,16100700.0,3541465.352173913,2464288.136889112,70000.0,820000.0,180364.92753623187,125504.87073537623,74
1811,VILLA PUEYRREDON,2,2015,0.0,3973135.0,1387487.6424675325,1125796.3092675714,0.0,230000.0,80319.98857142858,65170.992465324016,77
1812,VILLA PUEYRREDON,2,2016,0.0,4446451.1,2073830.973770492,1430595.9427315365,0.0,263900.0,128491.80327868853,88621.079687777,68
1813,VILLA PUEYRREDON,2,2017,0.0,6528465.0,3403428.2518390813,1503254.3067795774,0.0,370000.0,209759.75609195404,91596.83505872746,101
1814,VILLA PUEYRREDON,3,2015,2227225.0,3973135.0,2701613.25,756496.1162363129,130000.0,230000.0,156500.0,43719.43376679173,10
1815,VILLA PUEYRREDON,3,2016,0.0,5897150.0,2511252.3736842107,1340358.060694647,0.0,350000.0,155303.15789473685,83092.91063882798,95
1816,VILLA PUEYRREDON,3,2017,1229574.5,12351150.0,3458535.6717171716,2830104.801746449,77000.0,700000.0,212454.54545454544,172655.21102009434,104
1817,VILLA PUEYRREDON,4,2015,1191940.5,9241857.5,3647490.6096491227,2485131.6610688837,69000.0,535000.0,211500.0,144207.09933980368,57
1818,VILLA PUEYRREDON,4,2016,0.0,11018265.0,2630580.9425287363,2671572.8790499317,0.0,690000.0,164735.63218390805,167302.6820959972,87
1819,VILLA PUEYRREDON,4,2017,798425.0,8061670.0,3051195.233088236,1734415.237124205,50000.0,485000.0,186576.4705882353,108088.32363747862,80
1820,VILLA PUEYRREDON,5,2015,0.0,3973135.0,1824904.8137254901,928098.4572408694,0.0,230000.0,105941.17647058824,53917.625753727734,102
1821,VILLA PUEYRREDON,5,2016,0.0,12774800.0,3805027.408333333,3663328.7157245986,0.0,800000.0,238283.33333333334,229409.69506995645,60
1822,VILLA PUEYRREDON,5,2017,951154.44,9704475.0,3171929.4404964535,2175394.3177486225,57341.27,550000.0,190999.7880141844,130052.01787523188,145
1823,VILLA PUEYRREDON,6,2015,0.0,3109410.0,1089186.375,1147518.812320559,0.0,180000.0,63250.0,66613.21575198506,40
1824,VILLA PUEYRREDON,6,2016,0.0,8782675.0,3835164.947258065,2490802.5525423465,0.0,550000.0,240170.64516129033,155982.24958777262,62
1825,VILLA PUEYRREDON,6,2017,252201.28,7622424.0,2950666.4890196077,1597739.128991386,15172.74,432000.0,174110.51705882355,92652.17627880305,107
1826,VILLA PUEYRREDON,7,2014,5182350.0,11228425.0,8205387.5,3490703.0287906667,300000.0,650000.0,475000.0,202072.59421636903,4
1827,VILLA PUEYRREDON,7,2015,1071019.0,4975056.0,2651910.7040816327,1180156.0690244297,62000.0,288000.0,155530.61224489796,69507.74898072408,49
1828,VILLA PUEYRREDON,7,2016,0.0,7744722.5,3216011.543055555,2244984.7493827594,0.0,485000.0,201397.22222222222,140588.33011132915,36
1829,VILLA PUEYRREDON,7,2017,104821.12,9439807.5,3014194.2003913075,1879594.3556336237,5636.15,535000.0,171129.80204347827,106593.97247900102,230
1830,VILLA PUEYRREDON,8,2014,1226489.5,2504802.5,1737814.7,700160.8656521015,71000.0,145000.0,100600.0,40531.46925538229,5
1831,VILLA PUEYRREDON,8,2015,1199275.0,19865675.0,5165301.418367347,6112542.633890853,70000.0,1150000.0,306346.9387755102,363311.02097126597,49
1832,VILLA PUEYRREDON,8,2016,1165700.5,8543147.5,2974623.3859649124,2278074.68015953,73000.0,535000.0,186280.70175438595,142660.53042925324,57
1833,VILLA PUEYRREDON,8,2017,781875.0,5125625.0,2953750.0,3071495.080779066,45000.0,295000.0,170000.0,176776.69529663687,2
1834,VILLA PUEYRREDON,9,2014,863725.0,3627645.0,2062246.261904762,1142567.8184511045,50000.0,210000.0,119380.95238095238,66141.87492842654,21
1835,VILLA PUEYRREDON,9,2015,367275.5,2458513.75,1589518.5704225353,563539.6486083809,23000.0,143500.0,94760.56338028169,33354.03800301607,71
1836,VILLA PUEYRREDON,9,2016,0.0,5908345.0,2175137.821428572,1319965.1149498199,0.0,370000.0,136214.2857142857,82660.55765725147,56
1837,VILLA PUEYRREDON,9,2017,1040762.5,7068600.0,3149580.53866242,1409060.3981014967,59900.0,390000.0,177917.7388535032,79121.57531950649,162
1838,VILLA PUEYRREDON,10,2014,1100578.6,7255290.0,2841565.8133333325,1452992.8315275442,63711.17,420000.0,164494.82266666665,84112.00500788182,30
1839,VILLA PUEYRREDON,10,2015,0.0,6510350.0,2655676.8040983607,1903050.6832555246,0.0,380000.0,159773.77049180327,114463.8631499615,61
1840,VILLA PUEYRREDON,10,2016,0.0,5908345.0,2327848.00875,1409894.1327295902,0.0,370000.0,145777.5,88292.20858124371,40
1841,VILLA PUEYRREDON,10,2017,396405.0,10190565.0,3171203.0539222625,1916536.3302265112,23000.0,520000.0,176967.20848056537,106118.46665008686,283
1842,VILLA PUEYRREDON,11,2014,1243764.0,3800390.0,2003151.02,834221.239527939,72000.0,220000.0,115960.0,48292.062839905004,25
1843,VILLA PUEYRREDON,11,2015,958110.0,1970237.5,1437350.0,471563.77805556526,60000.0,115000.0,87500.0,28538.098691452393,14
1844,VILLA PUEYRREDON,11,2016,830362.0,4950235.0,2149914.6226666677,808176.2111570815,52000.0,310000.0,134634.72618181817,50610.65290987604,172
1845,VILLA PUEYRREDON,11,2017,1068570.0,14726250.0,4139904.762254902,2962513.4575989284,62000.0,750000.0,230303.92156862744,163971.36849901368,102
1846,VILLA PUEYRREDON,12,2014,1537430.5,5095977.5,3316704.0,1846439.3724394883,89000.0,295000.0,192000.0,106888.15146253079,14
1847,VILLA PUEYRREDON,12,2015,1261511.5,4797100.0,2746586.5576923075,1564555.432061123,79000.0,280000.0,168538.46153846153,95626.87102241952,26
1848,VILLA PUEYRREDON,12,2016,1181669.0,4431258.75,2741477.3155737706,1012700.7257947916,74000.0,277500.0,171680.32786885247,63418.650830998005,61
1849,VILLA PUEYRREDON,12,2017,203819.02,9621150.0,3561944.1335,1915352.3572039881,10732.62,490000.0,187044.8635,100707.70216732222,61
1850,VILLA REAL,1,2015,2159312.5,2159312.5,2159312.5,0.0,125000.0,125000.0,125000.0,0.0,7
1851,VILLA REAL,1,2016,2075905.0,5391680.0,3589111.964285714,1349938.9501007854,130000.0,320000.0,222142.85714285713,83452.29603962803,14
1852,VILLA REAL,1,2017,1101826.5,2634802.5,2161458.4545454546,538318.1541308287,69000.0,165000.0,134818.18181818182,33483.781691494114,11
1853,VILLA REAL,1,2018,1668975.0,11584650.0,4139520.0,2929567.623547458,85000.0,590000.0,210823.5294117647,149201.30499350434,20
1854,VILLA REAL,2,2015,1986567.5,2504802.5,2297508.5,283848.99958868977,115000.0,145000.0,133000.0,16431.676725154983,5
1855,VILLA REAL,2,2016,2379306.5,4380740.0,3491182.75,872238.7793912467,149000.0,260000.0,216750.0,54324.15334235442,12
1856,VILLA REAL,2,2017,1037952.5,1446114.0,1347194.857142857,137999.39804721196,65000.0,87000.0,83857.14285714286,8315.218406203,7
1857,VILLA REAL,3,2015,2055665.5,2383881.0,2181010.736842105,157210.36736773796,119000.0,138000.0,126315.78947368421,9177.585203932385,19
1858,VILLA REAL,3,2016,1884283.0,2274615.0,1982656.09375,129720.1011942275,118000.0,135000.0,122875.0,7283.543093852049,16
1859,VILLA REAL,3,2017,1085858.0,4058235.0,2629373.756756757,1157739.1252324905,68000.0,248000.0,161243.24324324325,70996.6374029258,38
