field_1,id_left,lat,lon,join_long,join_lat,join_object,join_id,join_name,join_comune,distance
"189328",946ff52593780779a014909f021637a2ff123021,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"189884",927600a7c7bef534f206599ef8c52ab1e851f89d,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"190108",2a9cd95496aeb995b146f02319a29b6521a6a282,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"190117",0fb9130b483a91804883787adb72cbbe4bc3e3ad,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"190119",8f7691e35ec80205f45170354afa298d2c0c7dd2,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"190123",34790aed8f5c82c721f05bacfc899c4c9f6eec46,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"190124",3ffb0813ac8c38f9230770c9b3c2eed9ec199c59,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"190126",ae50a3f0349f9f12a9e8c1d78edf4e41dbdb82b4,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"190130",34669cf2010e877fe734e30d61ae05c7e542e204,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"190560",fd5cbb89aacc659faa20c2a4be5f09ffb2dbb4d7,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"191233",effaf53413b040cdbc1bb99203b2208f3064596d,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"191812",5e40c3896fbcd95c07016bd76cd2e6e673527dd1,-34.57371,-58.4314097,-58.4326404083668,-34.5732312422702,pharmacy,,,"14",0.00132054990362003
"191816",977a9f55148125ee29d791370b08274bde86cd64,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"192325",bd8119301dfe9f609ff9a7db2625c907cb1cc2db,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"192329",6da8208ccb330501e8e4d90132337a7562f16465,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"192333",96f9e048a85e6d1b2f6a2bbac28565494e931108,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"193909",cf6df6cfacab8660ea00b547acaff2193d94680d,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"194771",091b4110fd796a42ac7898d94eccd502d64db5ef,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"197146",8320fce5c58e620ed71ef4067cd8c81e9549c866,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"197909",990b2637e66cec325f5c45004a4d7759f957e1a9,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"198869",10c6d2d7796933de4790841c7b184b06d7f45ede,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
"199163",83473522d91d0ff553d61ff996c4fcedd4bc826e,-34.5711496,-58.4232966,-58.4238540053459,-34.5751499833415,pharmacy,,,,0.00403903052705989
