field_1,id_left,lat,lon,join_long,join_lat,join_id,join_object,join_name,distance
"84438",2d5f96fcbab34280ee6bdac331e8375462358107,-34.5902714,-58.4100988,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0741743088478647
"241278",387a621be3794d64545c99c64d49fad9ac419844,-34.58938,-58.409915,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0749459916492183
"243122",a9f497f12c97233be3106555fb56d6218a5e0482,-34.589077,-58.41008,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0750530001043753
"84475",c9a87eb2308af561de1e9c10194445d43ea74893,-34.5807196,-58.4223668,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0741914330695863
"155242",9ebdeb5b20ec28a1dc947036b64b896e69720a6e,-34.5808467,-58.4229193,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.073793183069911
"243206",47e0aa8aaabcbeddf9b9ace1123adda15841da34,-34.5809843,-58.4221787,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0740663279733384
"247808",5655acaf966da35a843da156f4f17a208a6e4898,-34.5809843,-58.4221787,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0740663279733384
"84586",0f9a6da16b1ac916bf4af8a92a9655ed3e1b9fcc,-34.6540289,-58.3823195,-58.4466067042219,-34.6622249467795,"4",premetro station,FERNANDEZ DE LA CRUZ,0.0648075598173606
"84616",67458a831888fc6fae2a12f8b1fbf52b29bbee2a,-34.5594846,-58.4451392,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0858437650014695
"112825",3a65120af447077001d5dcc82d81d30db0c6ee56,-34.5586891,-58.4459564,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0864742963802392
"113677",2601044bead47b44a67ae96145cb4c6676797bbc,-34.5586003,-58.4460292,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0865486179231625
"225860",b63a8ffc969c497a23cad5f8d7702f870e0a79a8,-34.5589112,-58.445575,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0863253240130885
"84655",e6fecfd4a39da66136ba0fa41cb7916e5ed64fb2,-34.561763,-58.460829,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0819962697452043
"145618",c99fc37523d4d99dc3502ca389b56b7f929e4bd0,-34.562591,-58.4600887,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0811777105615429
"155350",3d5ce13fa6f58944cbdba3eea8f5486f7001bb03,-34.5616867,-58.4598139,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.082087031786803
"155355",bece8854ba5702d052a3e64fe2d471aab8588c27,-34.5616867,-58.4598139,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.082087031786803
"156738",e3d6e7b1dc14bf1ead03c8791d1bf4ae8a2a749c,-34.56245,-58.459883,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0813224969142686
"192797",bd824f99dcdadd2a460f4b8fbcdb9dacc9e5dd58,-34.5626967,-58.4602826,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0810689042056045
"249355",8548abcf1af77476cf21c7e20de6d5887f288c7a,-34.5626967,-58.4602826,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0810689042056045
"84657",9b93ab0b137dc996813f07da770cdfe69d5862ff,-34.5608104,-58.4661725,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0830782024816105
"169179",c50095cf382f68ad51ff0a1041eee85a38abfa25,-34.5612915,-58.4670571,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0826527272359714
"199660",49bf29e10867cd09ed9fc1f305e86b1d47c4ca69,-34.5604536,-58.46648,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0834522563953083
"205563",62b6c1114847323ac1c6902340a2d4adaccea98b,-34.5605543,-58.4677195,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0834351006447766
"233363",d084e78b5fc7bd6fe3ece7bd1d035e0ba2bc3756,-34.560595,-58.465943,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.083280677375429
"254830",d50df4ed9d25592c059b869b36e4a3122705fdd6,-34.5605292054,-58.4663250096,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0833676558347402
"254833",b78fecc464614d000e36aa1ef385de2fb274088b,-34.5606853653,-58.4662757782,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0832089137051768
"254838",08296e271d835d35e97adf3df882052d398c4117,-34.5604746,-58.466419,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0834276685508004
"84689",610fc7a048c0ecff535564cea05b97b75950aed7,-34.6076999899,-58.3964658571,-58.4564145813745,-34.6486005420351,"2",premetro station,BALBASTRO (CEMENTERIO DE FLORES),0.0725720656113402
