barrio,date,count,mean,count 10th percentile,count 90th percentile,min,max,std
2,2014-10-31,9,138200.0,1.0,0.0,75000.0,245000.0,56732.35408477247
2,2014-11-30,24,211006.25,0.0,2.0,78000.0,900000.0,190606.16368090556
2,2014-12-31,2,381000.0,0.0,1.0,102000.0,660000.0,394565.5839020935
2,2015-01-31,10,313542.2,1.0,1.0,71000.0,1650000.0,474159.801648441
2,2015-02-28,25,179429.44,1.0,1.0,62000.0,495000.0,114738.9097651272
2,2015-03-31,42,159631.23071428572,4.0,2.0,60000.0,499000.0,95068.23590968244
2,2015-04-30,118,265149.3206779661,3.0,11.0,5590.06,1600000.0,304418.13121867535
2,2015-05-31,75,158826.89213333334,1.0,0.0,65000.0,435000.0,76930.39813054215
2,2015-06-30,63,216746.93555555554,0.0,6.0,76834.12,1100000.0,219306.67375804187
2,2015-07-31,89,344352.80898876407,2.0,15.0,62000.0,1500000.0,397165.27390137763
2,2015-08-31,85,303675.1815294117,2.0,6.0,73000.0,3250000.0,611120.6098334749
2,2015-09-30,97,305990.8449484536,0.0,15.0,79500.0,1700000.0,385988.44335244223
2,2015-10-31,90,570655.5555555555,3.0,30.0,63000.0,1900000.0,657073.7677040107
2,2015-11-30,50,187220.0,1.0,1.0,75000.0,513000.0,101804.99366285466
2,2015-12-31,50,187299.0098,0.0,0.0,94000.0,450000.0,92885.40244825295
2,2016-01-31,59,218719.49152542374,0.0,3.0,86000.0,900000.0,154367.63887711574
2,2016-02-29,43,211367.725116279,0.0,3.0,94000.0,850000.0,143783.3027771958
2,2016-03-31,89,202028.6593258427,6.0,2.0,4851.34,1400000.0,197470.60067521964
2,2016-04-30,50,246010.0,0.0,3.0,79000.0,2250000.0,330209.58851453534
2,2016-05-31,35,286057.14285714284,2.0,4.0,31000.0,1900000.0,343054.0767573415
2,2016-06-30,42,221879.50476190474,3.0,2.0,58500.0,2250000.0,336511.3618179253
2,2016-07-31,61,217966.14327868854,23.0,6.0,27279.0,1480000.0,303656.9248369464
2,2016-08-31,48,235007.31354166663,1.0,7.0,69999.0,755000.0,185393.7048735067
2,2016-09-30,55,232351.66836363636,2.0,3.0,65000.0,1500000.0,209216.11481462434
2,2016-10-31,69,207550.72463768115,1.0,2.0,73000.0,730000.0,121582.13832533665
