long,lat,id,object,name,comune
-58.4038467664154,-34.6375159592299,,sports federation,Federación Metropolitana de Taekwondo,4
-58.4412220368555,-34.6676524393422,,sports federation,Asociación Metropolitana de Cazadores y Tiradores con Arco,8
-58.4168477994321,-34.6196633951995,,sports federation,Federación Metropolitana de Balonmano,5
-58.4160164695928,-34.6067146089176,,sports federation,Federación Porteña de Patín,5
-58.4420900564415,-34.6038674085451,,sports federation,Federación de Tenis de Mesa de la Ciudad de Buenos Aires,15
-58.4393613409869,-34.5939926672294,,sports federation,Federación Metropolitana de Arte Marcial Chino Wu Shu,15
-58.4147670127688,-34.6097818274225,,sports federation,Federación Metropolitana de Voley,5
-58.39102484475,-34.5943133183827,,sports federation,Federación Argentina de Canoas,2
-58.3782703133302,-34.5954335984918,,sports federation,Asociación Metropolitana de Padel,1
-58.5008230906489,-34.5881006096643,,sports federation,Asociación Metropolitana de Futbol de Salón,12
-58.3764709526244,-34.6026352830205,,sports federation,Asociación Argentina de Tenis,1
-58.4638621660536,-34.5588536034485,,sports federation,Asociación Metropolitana de Tenis Adaptado,13
-58.3961270721551,-34.5901661630462,,sports federation,Unión de Rugby Buenos Aires,2
-58.4194779735812,-34.5880853636077,,sports federation,Federación Argentina de Bochas,14
-58.3778777692155,-34.6013845419136,,sports federation,Asociación Metropolitana de Artes Marciales Chinas,1
-58.5178859313663,-34.6269166483709,,sports federation,Federación de Karate de la Ciudad de Buenos Aires,10
-58.438872244175,-34.5911296364412,,sports federation,Asociación Metropolitana de Ciclismo,15
-58.3766927349638,-34.6079635328042,,sports federation,Asociación Argentina de Remeros Aficionados,1
-58.421446702925,-34.6052623171448,,sports federation,Federación Metropolitana de Billar,5
-58.3766927349638,-34.6079635328042,,sports federation,Federación Argentina de Pato y Horseball,1
-58.4544077422318,-34.6406379725827,,sports federation,Liga Metropolitana de Beisbol,7
-58.4008014282409,-34.6182268878216,,sports federation,Asociación Femenina Metropolitana de Basquet,3
-58.4168041105712,-34.613536993474,,sports federation,Federación Atletica Metropolitana,5
-58.46366917231,-34.5419750675278,,sports federation,Federación de Cestoball de Capital Federal,13
-58.4572307403131,-34.6191871809264,,sports federation,Federación Argentina de Futbol Silencioso,7
-58.3875054836623,-34.59850220151,,sports federation,Asociación de Patinadores Metropolitanos,2
-58.4882544346532,-34.6221131217858,,sports federation,Federación Argentina de Netball,10
-58.4511821844434,-34.6128668826196,,sports federation,Federación Metropolitana de  Pelota,6
-58.50671085948,-34.5939457103483,,sports federation,Federación Argentina de Voleibol de Sordos,11
-58.4835855470482,-34.5464165877141,,sports federation,Federación Argentina de Patinaje sobre Hielo,12
-58.4792824337753,-34.6531915422143,,sports federation,Asociación Civil Escuela Metropolitana Hockey Sobre Hielo,9
-58.3867854666497,-34.6113121983992,,sports federation,Federación Argentina de Triatlón,1
-58.3725544946634,-34.6223345949692,,sports federation,Federación Metropolitana de Gimnasia,1
-58.3889578122075,-34.6027945295684,,sports federation,Federación de Natación de Buenos Aires,1
-58.5104208707655,-34.633284619872,,sports federation,Asociación Softbol de Buenos Aires,10
-58.3731262496845,-34.6120391869952,,sports federation,Federación de Esgrima de la Ciudad de Buenos Aires,1
-58.3838974213414,-34.6043714538029,,sports federation,Federación Metropolitana de Judo,1
-58.3984538107897,-34.6058540132103,,sports federation,Federación Argentina de Centros Comunitarios Macabeos,3
-58.3842719019694,-34.6122934266405,,sports federation,Federación Argentina de Tiro con Arco,1
-58.3858999050532,-34.6129863767001,,sports federation,Asociación Amateur de Hockey sobre Cesped de Buenos Aires (A.A.H.B.A),1
-58.4651201131391,-34.6412130137052,,sports federation,Federación Metropolitana de Bowling,7
-58.3933012857734,-34.6214596771092,,sports federation,Federación Regional de Basquetbol de Capital Federal,3
-58.4841795727718,-34.6154973071847,,sports federation,Federación Argentina de Deportes para personas con Discapacidad Mental,11
-58.5014377797747,-34.6602235262605,2,skate park,Plaza Alberdi,9
-58.4339664854988,-34.6075822975112,4,skate park,Parque Centenario,6
-58.3990291405528,-34.5994903328057,5,skate park,Plazoleta Maimonides,3
-58.421275955351,-34.5685133653225,6,skate park,Plaza Haití,14
-58.5050156608036,-34.6018976073805,7,skate park,Plazoleta Roffo,11
-58.3930713822566,-34.6284401808356,8,skate park,Polo Circo,4
-58.4655935380423,-34.6864256843464,9,skate park,Skate Park Lugano,8
-58.5251150631593,-34.6162091906116,10,skate park,Plaza Las Toscaneras,10
-58.4124932322685,-34.6582518221155,11,skate park,Paseo del Riachuelo,4
-58.4383120842126,-34.5507892214416,1,skate park,Plaza Paseo de las Americas,13
-58.4281984097246,-34.5500770791255,3,skate park,Parque Costanera,13
-58.4742972315677,-34.6460080345386,1,sports center,AVELLANEDA,9
-58.4447411760323,-34.6330745192493,2,sports center,CHACABUCO,7
-58.4446741367092,-34.5794594978438,3,sports center,COLEGIALES,13
-58.4767720087481,-34.5916364980214,4,sports center,COSTA RICA,15
-58.3764131296855,-34.6381418468453,5,sports center,DON PEPE,4
-58.4960447276625,-34.6674350806665,6,sports center,DORREGO,9
-58.4085767657369,-34.6260852784296,7,sports center,MARTIN FIERRO,3
-58.5137582460452,-34.5944241740242,8,sports center,ONEGA,11
-58.4088940560445,-34.6390976996566,9,sports center,PATRICIOS,4
-58.4911509087536,-34.6223474860795,10,sports center,POMAR,10
-58.5131533538682,-34.6461944501804,11,sports center,SANTOJANNI,9
-58.3894321267513,-34.649279232219,12,sports center,PEREYRA,4
-58.4017985221642,-34.5726986207638,13,sports center,MANUEL BELGRANO (ex KDT),14
-58.4415247657096,-34.6680106421335,14,sports center,JULIO A. ROCA,8
-58.4985102827665,-34.5531024373884,15,sports center,SARMIENTO,12
-58.4345296635117,-34.5584411681151,16,sports center,CAMPO DE GOLF,14
