lat,long,id,object,name,comune
-34.5723436926908,-58.440256735853,838,public WiFi location,"Metrobus Norte, Estación Matienzo",14
-34.5718130772258,-58.4412022798191,837,public WiFi location,"Metrobus Norte, Estación Jorge Newbery",14
-34.638268043453,-58.5261138791991,836,public WiFi location,"Metrobus Juan B. Justo, Estación Liniers",9
-34.5713263210616,-58.442239728487,835,public WiFi location,"Metrobus Norte, Estación Maure",13
-34.6334569239729,-58.5139111082032,834,public WiFi location,"Metrobus Juan B. Justo, Estación Polideportivo Vélez Sarsfield",10
-34.5709278181187,-58.4430431552329,833,public WiFi location,"Metrobus Norte, Estación Gorostiaga",13
-34.5701082825906,-58.4445024574361,832,public WiFi location,"Metrobus Norte, Estación Olleros",13
-34.5691810136158,-58.4463783115367,831,public WiFi location,"Metrobus Norte, Estación Teodoro Garcia",13
-34.6343401243604,-58.5067279413042,830,public WiFi location,"Metrobus Juan B. Justo, Estación Cortina",10
-34.632208354416,-58.5010440879522,829,public WiFi location,"Metrobus Juan B. Justo, Estación Av. Lope de Vega",10
-34.6295344574075,-58.4948524225799,828,public WiFi location,"Metrobus Juan B. Justo, Estación Av. Carrasco",10
-34.6270101756477,-58.4910946618592,827,public WiFi location,"Metrobus Juan B. Justo, Estación Av. Segurola",10
-34.6251429839953,-58.4859233245498,826,public WiFi location,"Metrobus Juan B. Justo, Estación Chivilcoy",10
-34.6220407598444,-58.4808171285285,825,public WiFi location,"Metrobus Juan B. Justo, Estación Concordia",11
-34.5689875341135,-58.4467701597751,824,public WiFi location,"Metrobus Norte, Estación Palpa",13
-34.618101861621,-58.4760960455675,823,public WiFi location,"Metrobus Juan B. Justo, Estación Av. Nazca",11
-34.5681157528464,-58.44864520973,822,public WiFi location,"Metrobus Norte, Estación Céspedes",13
-34.6138238785238,-58.4722527834405,821,public WiFi location,"Metrobus Juan B. Justo, Estación Artigas",11
-34.6113032037563,-58.467848324634,820,public WiFi location,"Metrobus Juan B. Justo, Estación Boyaca",11
-34.6073724573593,-58.4627049858066,819,public WiFi location,"Metrobus Juan B. Justo, Estación Av. Donato Alvarez",11
-34.5677946028092,-58.4490281715771,818,public WiFi location,"Metrobus Norte, Estación Zabala",13
-34.6044913354846,-58.4584744779847,817,public WiFi location,"Metrobus Juan B. Justo, Estación Av. San Martín",15
-34.6001200012005,-58.4520531334193,816,public WiFi location,"Metrobus Juan B. Justo, Estación Av. Honorio Pueyrredon",15
-34.5673874954201,-58.4497638164836,815,public WiFi location,"Metrobus Norte, Estación Virrey Loreto",13
-34.5664708446846,-58.4517034037476,814,public WiFi location,"Metrobus Norte, Estación Virrey Arredondo",13
-34.5970912407718,-58.4476909156459,813,public WiFi location,"Metrobus Juan B. Justo, Estación Murillo",15
-34.5658788154397,-58.4528479723494,812,public WiFi location,"Metrobus Norte, Estación Virrey del Pino",13
-34.5644376778444,-58.4547024389101,811,public WiFi location,"Metrobus Norte, Estación La Pampa",13
-34.5922664115843,-58.4407040171449,810,public WiFi location,"Metrobus Juan B. Justo, Estación Aguirre",15
-34.5634328923239,-58.4553926877815,809,public WiFi location,"Metrobus Norte, Estación Sucre",13
-34.585371950978,-58.4347519703331,808,public WiFi location,"Metrobus Juan B. Justo, Estación Honduras",14
-34.5615801749636,-58.4570019754503,807,public WiFi location,"Metrobus Norte, Estación Juramento",13
-34.5606562302065,-58.4579413085158,806,public WiFi location,"Metrobus Norte, Estación Mendoza",13
-34.5818663181463,-58.4300283642842,805,public WiFi location,"Metrobus Juan B. Justo, Estación Guatemala",14
-34.5596770916589,-58.4586264520722,804,public WiFi location,"Metrobus Norte, Estación Olazabal",13
-34.5775886031066,-58.4265278412909,803,public WiFi location,"Metrobus Juan B. Justo, Estación Pacífico",14
-34.5585422586109,-58.4597790628436,802,public WiFi location,"Metrobus Norte, Estación Blanco Encalada",13
-34.5579693044523,-58.4602896095604,801,public WiFi location,"Metrobus Norte, Estación Monroe",13
-34.6599169549597,-58.4295512754752,800,public WiFi location,"Metrobus Sur Roca, Estación Berg",8
-34.6615026169915,-58.4330133873029,799,public WiFi location,"Metrobus Sur Roca, Estación Varela",8
-34.6593116247047,-58.4424395361609,798,public WiFi location,"Metrobus Sur Fernandez de la Cruz, Estación La Fuente",8
-34.6279558325374,-58.3960629914119,797,public WiFi location,"Metrobus Sur Fernandez de la Cruz, Estación Pichincha",3
-34.6400500504431,-58.4193260932927,796,public WiFi location,"Metrobus Sur Fernandez de la Cruz, Estación Caseros",4
-34.6475291545269,-58.4279327433962,795,public WiFi location,"Metrobus Sur Fernandez de la Cruz, Estación Del Barco Centenera",4
-34.6556557629657,-58.4377996811463,794,public WiFi location,"Metrobus Sur Fernandez de la Cruz, Estación Varela",8
-34.6338774093126,-58.4066118718233,793,public WiFi location,"Metrobus Sur Roca, Estación La Rioja",4
