long,lat,objeto,id,nombre,comuna
-58.4912772319533,-34.6779194836943,CeSAC,35,Centro de Salud Nivel 1 Villa Lugano 2 (CeSAC N° 7),8
-58.4424629963508,-34.6656342249534,CeSAC,34,Centro de Salud Nivel 1 Villa Soldati (CeSAC N° 6),8
-58.5042738164045,-34.6655642847012,CeSAC,33,Centro de Salud Nivel 1 Mataderos 2 (CeSAC N° 37),9
-58.3997484694988,-34.6562704964316,CeSAC,32,Centro de Salud Nivel 1 Barracas 6 (CeSAC N° 35),4
-58.4416171402094,-34.586372671781,CeSAC,31,Centro de Salud Nivel 1 Palermo 3 (CeSAC N° 33),14
-58.4046161600748,-34.6498751035016,CeSAC,30,Centro de Salud Nivel 1 Barracas 4 (CeSAC N° 30),4
-58.4866078286625,-34.6846131572289,CeSAC,29,Centro de Salud Nivel 1 Villa Lugano 5 (CeSAC N° 29),8
-58.4868366150183,-34.5476471799327,CeSAC,28,Centro de Salud Nivel 1 Saavedra (CeSAC N° 27),12
-58.4256441436883,-34.5872377766862,CeSAC,27,Centro de Salud Nivel 1 Palermo 2 (CeSAC N° 26),14
-58.3822249756992,-34.581831705584,CeSAC,26,Centro de Salud Nivel 1 Retiro 2 (CeSAC N° 25),1
-58.3732421154447,-34.5846654418776,CeSAC,25,Centro de Salud Nivel 1 Retiro 1 (CeSAC N° 21),1
-58.3724592370497,-34.6207820095087,CeSAC,24,Centro de Salud Nivel 1 San Telmo (CeSAC N° 15),1
-58.4554408856324,-34.6579079788756,CeSAC,23,Centro de Salud Nivel 1 Ramón Carrillo (CeSAC N° 24),8
-58.438095847567,-34.6493682386374,CeSAC,22,Centro de Salud Nivel 1 Flores 2 (CeSAC N° 20),7
-58.4418865424143,-34.6434765271622,CeSAC,21,Centro de Salud Nivel 1 Flores 1 (CeSAC N° 19),7
-58.4680124786178,-34.6737702265593,CeSAC,20,Centro de Salud Nivel 1 Villa Lugano 4 (CeSAC N° 18),8
-58.4199413683518,-34.59265492033,CeSAC,19,Centro de Salud Nivel 1 Palermo 1 (CeSAC N° 17),14
-58.4336749298209,-34.6458306434842,CeSAC,18,Centro de Salud Nivel 1 Flores 3 (CeSAC N° 31),7
-58.4917855634719,-34.6218240197832,CeSAC,17,Centro de Salud Nivel 1 Floresta (CeSAC N° 36),10
-58.4641132998869,-34.6849948172069,CeSAC,16,Centro de Salud Nivel 1 Villa Lugano 8 (CeSAC N° 28),8
-58.5069128628954,-34.6556234127297,CeSAC,15,Centro de Salud Nivel 1 Mataderos 1 (CeSAC N° 4),9
-58.4643352585501,-34.6846295679549,CeSAC,14,Centro de Salud Nivel 1 Villa Lugano 9 (CeSAC N° 3),8
-58.4106879908785,-34.5988478008354,CeSAC,13,Centro de Salud Nivel 1 Balvanera (CeSAC N° 11),3
-58.474181498577,-34.5698990652546,CeSAC,12,Centro de Salud Nivel 1 Villa Urquiza (CeSAC N° 12),12
-58.5095049729635,-34.5765506369991,CeSAC,11,Centro de Salud Nivel 1 Villa Pueyrredón (CeSAC N° 2),12
-58.4458597861216,-34.6449083981669,CeSAC,10,Centro de Salud Nivel 1 Flores 4 (CeSAC N° 40),7
-58.4742515422757,-34.6603247715799,CeSAC,9,Centro de Salud Nivel 1 Villa Lugano 3 (CeSAC N° 14),9
-58.483235877426,-34.6444000222992,CeSAC,8,Centro de Salud Nivel 1 Parque Avellaneda (CeSAC N° 13),9
-58.4099154111675,-34.6310049373664,CeSAC,7,Centro de Salud Nivel 1 Parque Patricios 2 (CeSAC N° 39),4
-58.4311153015132,-34.6541335610707,CeSAC,6,Centro de Salud Nivel 1 Barracas 5 (CeSAC N° 32),4
-58.3747016835991,-34.6518714830613,CeSAC,5,Centro de Salud Nivel 1 Barracas 3 (CeSAC N° 16),4
-58.383495108401,-34.6334209011968,CeSAC,4,Centro de Salud Nivel 1 Parque Patricios (CeSAC N° 10),4
-58.389377681427,-34.6492762975786,CeSAC,3,Centro de Salud Nivel 1 Barracas 1 (CeSAC N° 1),4
-58.4591679329374,-34.6008674677704,CeSAC,2,Centro de Salud Nivel 1 La Paternal 2 (CeSAC N° 22),15
-58.4782436689046,-34.6066090836738,CeSAC,1,Centro de Salud Nivel 1 La Paternal 1 (CeSAC N° 34),11
-58.4829869068093,-34.6221564665346,CMB,1,CMB N° 2,11
-58.5264647514946,-34.634807560286,CMB,2,CMB N° 3,9
-58.4525542552639,-34.6356352876892,CMB,3,CMB N° 4,7
-58.3936644526942,-34.6196273627075,CMB,4,CMB N° 6,3
-58.5192409721467,-34.6418220955856,CMB,5,CMB N° 7,9
-58.4316921574601,-34.6409744792121,CMB,6,CMB N° 8,7
-58.4713481799362,-34.6698415632881,CMB,7,CMB N° 9,8
-58.3728570192204,-34.6319859762123,CMB,8,CMB N° 10,4
-58.4553398663073,-34.5779881666476,CMB,9,CMB N° 11,13
-58.4651771279104,-34.6192457432647,CMB,10,CMB N° 12,7
-58.4797174059797,-34.6120798462711,CMB,11,CMB N° 13,11
-58.4227979176079,-34.652668550114,CMB,12,CMB N° 18,4
-58.5267140921382,-34.6136225886744,CMB,13,CMB N° 19,10
-58.4943582168842,-34.6493390059638,CMB,14,CMB N° 20,9
-58.4297412937434,-34.6297684853076,CMB,16,CMB N° 23,7
-58.4040212047891,-34.6327821014228,CMB,17,CMB N° 24,4
