,barrio_,b_id_,month_,year_,price_aprox_local_currency_min,price_aprox_local_currency_max,price_aprox_local_currency_mean,price_aprox_local_currency_std,price_aprox_usd_min,price_aprox_usd_max,price_aprox_usd_mean,price_aprox_usd_std,created_on_count
556,FLORES,19.0,11,2017,278970.0,16689750.0,3036561.447192118,2155512.344639738,15000.0,850000.0,169415.45320197043,116372.78275324598,203
557,FLORES,19.0,12,2014,880999.5,5095977.5,2672949.341818182,1283797.4975152912,51000.0,295000.0,154733.81818181818,74317.49094502341,11
558,FLORES,19.0,12,2015,1183671.92,9261730.0,2577429.6355172414,1631460.1701644745,72000.0,580000.0,155753.7017241379,103236.0267907084,29
559,FLORES,19.0,12,2016,95811.0,11976375.0,2603480.9965979382,2292979.888380358,6000.0,750000.0,163038.54443298967,143593.94359573725,97
560,FLORES,19.0,12,2017,304342.5,15708000.0,3340214.1675348836,2427032.0668849885,15500.0,800000.0,177120.88372093023,128155.48307689893,215
561,FLORESTA,8.0,1,2015,1053744.5,2072940.0,1498457.7972727271,264988.7496692646,61000.0,120000.0,86743.91727272727,15339.8795979591,11
562,FLORESTA,8.0,1,2016,716985.65,6147872.5,2314190.5055555557,1837663.3433541055,44900.0,385000.0,144922.22222222222,115080.52374074618,9
563,FLORESTA,8.0,1,2017,685048.65,4710707.5,1803082.9522222222,924916.3988733209,42900.0,295000.0,112914.98592592592,57921.30749551465,27
564,FLORESTA,8.0,1,2018,160560.11,7353307.5,2724032.348548387,1529195.7111186434,8177.24,374500.0,138733.50387096775,77881.11592513851,62
565,FLORESTA,8.0,2,2015,573218.0,5182350.0,2542949.605,1816957.611937648,33182.9,300000.0,147208.28999999998,105181.4878120295,10
566,FLORESTA,8.0,2,2016,894236.0,11177950.0,2095750.1029411764,2380249.2694569975,56000.0,700000.0,130500.0,149333.10081827137,17
567,FLORESTA,8.0,2,2017,686645.5,3832440.0,1836377.5,826564.6368918956,43000.0,240000.0,115000.0,51762.19663035949,21
568,FLORESTA,8.0,2,2018,1472625.0,1472625.0,1472625.0,0.0,75000.0,75000.0,75000.0,0.0,1
569,FLORESTA,8.0,3,2015,948370.05,3940475.0,2114984.3855555556,791033.0497493814,54900.0,230000.0,123301.41666666667,46297.65985887245,9
570,FLORESTA,8.0,3,2016,734551.0,11976375.0,2331838.911764706,2655082.701921849,46000.0,750000.0,143900.0,165762.70690357347,17
571,FLORESTA,8.0,3,2017,878267.5,5988187.5,2323261.360967742,1292442.7314414205,55000.0,375000.0,145490.26903225805,80937.01546313221,31
572,FLORESTA,8.0,4,2015,856625.0,6737055.0,2153626.724347826,1338062.8573963996,50000.0,390000.0,124893.1604347826,77372.10271558374,23
573,FLORESTA,8.0,4,2016,718582.5,2634802.5,1580767.4392857142,507985.40070137853,45000.0,165000.0,98992.85714285714,31811.716861407054,14
574,FLORESTA,8.0,4,2017,99999.85,8622990.0,2721236.437297297,1842791.6293916192,6262.32,540000.0,170274.63027027028,115454.4291107877,37
575,FLORESTA,8.0,5,2015,1165010.0,3458656.51,2199645.4793333337,626393.1433496875,68000.0,200217.46,127605.54666666666,36061.79387658786,15
576,FLORESTA,8.0,5,2016,452636.07,3337416.5,1589709.645,737661.8537350381,28345.56,209000.0,99552.8475,46194.81186308083,16
577,FLORESTA,8.0,5,2017,686645.5,9261730.0,2295002.2252941174,1604257.206504485,43000.0,580000.0,143504.70588235295,100366.91840902742,85
578,FLORESTA,8.0,6,2015,1157391.5,5396737.5,2123945.125,1168718.5134707468,67000.0,315000.0,123468.18181818182,68151.46566822515,22
579,FLORESTA,8.0,6,2016,782456.5,10379525.0,3586824.509375,2891530.6772863427,49000.0,650000.0,224618.75,181077.16299504292,16
580,FLORESTA,8.0,6,2017,87509.61,6687265.5,2098814.138947368,1155042.6621581803,5480.14,379000.0,124988.77684210526,67479.99527494381,57
581,FLORESTA,8.0,7,2014,1261038.5,1261038.5,1261038.5,0.0,73000.0,73000.0,73000.0,0.0,1
582,FLORESTA,8.0,7,2015,1357322.5,3597825.0,1856894.52,704117.7776161017,79500.0,210000.0,108949.55777777778,40682.83443001538,9
583,FLORESTA,8.0,7,2016,830362.0,9261730.0,2645327.193181818,2031428.9392408712,52000.0,580000.0,165659.0909090909,127214.7627667515,22
584,FLORESTA,8.0,7,2017,882225.0,44111250.0,3016086.082105263,4512787.390141051,50000.0,2500000.0,171315.7894736842,255829.11655184976,95
585,FLORESTA,8.0,8,2014,1172938.55,5752408.5,2449524.1000000006,1970295.6254612678,67900.0,333000.0,141800.0,114058.04078041436,7
586,FLORESTA,8.0,8,2015,1524792.5,5996375.0,2823928.365625,1233973.8416065942,89000.0,350000.0,164481.25,71835.89834940931,16
587,FLORESTA,8.0,8,2016,750519.5,38324400.0,5703948.2,9726694.41759416,47000.0,2400000.0,357200.0,609117.6013773468,14
588,FLORESTA,8.0,8,2017,1056330.0,5721787.5,2678095.5555555555,1812557.609698576,60000.0,325000.0,153000.0,102691.28492720304,9
589,FLORESTA,8.0,9,2014,854102.06,3057586.5,1988591.268181818,845897.4632571186,49442.94,177000.0,115117.15363636363,48967.98524778721,11
590,FLORESTA,8.0,9,2015,1113612.5,4283125.0,1883431.7758333336,902861.4952196479,65000.0,250000.0,109933.27166666667,52698.759357210474,12
591,FLORESTA,8.0,9,2016,98645.4,4471180.0,1978000.9410526312,937164.9657742714,6177.5,280000.0,123868.92578947368,58688.353019773844,38
592,FLORESTA,8.0,9,2017,373562.5,5480730.0,1925836.9466666668,939107.1202268611,21500.0,318000.0,110761.33333333333,54170.9353938202,75
593,FLORESTA,8.0,10,2014,1071019.0,5838781.0,3299084.0100000002,2224426.5726035074,62000.0,338000.0,190980.0,128769.37524116517,5
594,FLORESTA,8.0,10,2015,1199275.0,7366975.0,2852561.25,1783223.0195385464,70000.0,430000.0,166500.0,104084.22702691062,20
595,FLORESTA,8.0,10,2016,1221590.25,15170075.0,2945493.967391304,2895113.624638391,76500.0,950000.0,184456.52173913043,181301.5389446968,23
596,FLORESTA,8.0,10,2017,178710.61,19527900.0,3426366.33140625,3352390.3869221914,10150.84,1050000.0,193478.919375,187074.68697939234,64
597,FLORESTA,8.0,11,2014,967372.0,10364700.0,3007682.388888889,2922103.6413065265,56000.0,600000.0,174111.11111111112,169157.06048259145,9
598,FLORESTA,8.0,11,2015,739057.84,2347152.5,1732508.6991666667,591808.9762296624,43137.77,137000.0,101124.10333333333,34543.05994247768,12
599,FLORESTA,8.0,11,2016,239527.5,6387400.0,2115932.4405,1350945.741082422,15000.0,400000.0,132506.65,84600.66637831576,60
600,FLORESTA,8.0,11,2017,178999.95,8358975.0,2364195.6594594596,1433460.8666296925,10385.84,485000.0,134267.18486486486,81990.15679500143,37
601,FLORESTA,8.0,12,2014,1347411.0,6547035.5,3338297.125,2384517.755674047,78000.0,379000.0,193250.0,138036.86101907707,6
602,FLORESTA,8.0,12,2015,991971.75,2826862.5,1859855.25,723086.126607696,57900.0,165000.0,108557.14285714286,42205.523222395794,7
603,FLORESTA,8.0,12,2016,298865.8,11976375.0,2799543.7399999993,2638905.6991702328,18715.96,750000.0,175316.6384,165256.95581197843,25
604,FLORESTA,8.0,12,2017,164025.62,10972820.0,3424964.7902564104,2434088.3580755657,8819.53,590000.0,182300.50076923074,129440.73663890408,39
605,LINIERS,21.0,1,2015,1122842.5,3023037.5,1926106.75,811258.045554172,65000.0,175000.0,111500.0,46962.75119709236,6
606,LINIERS,21.0,1,2016,958110.0,3177731.5,1950619.25,954822.4446178855,60000.0,199000.0,120500.0,57642.86599398056,6
607,LINIERS,21.0,1,2017,846330.5,6706770.0,2163896.94137931,1406470.0871177001,53000.0,420000.0,135510.3448275862,88077.78358128191,29
608,LINIERS,21.0,1,2018,1079925.0,17966025.0,3484862.6399999997,2800698.5028233533,55000.0,915000.0,177482.18181818182,142638.06991715575,110
609,LINIERS,21.0,2,2015,1312862.0,6823427.5,2968334.9166666665,1767545.7200063753,76000.0,395000.0,171833.33333333334,102321.09294083044,12
610,LINIERS,21.0,2,2016,821534.45,3832440.0,1971005.1484444446,717086.9015008806,51447.19,240000.0,119319.84733333335,42905.60826905559,45
611,LINIERS,21.0,2,2017,846330.5,8463305.0,2199709.383018868,1508630.8201131783,53000.0,530000.0,137753.03773584907,94475.42474836069,53
612,LINIERS,21.0,2,2018,4908750.0,8835750.0,6209568.75,1787710.769785272,250000.0,450000.0,316250.0,91047.1489577424,4
613,LINIERS,21.0,3,2015,457105.03,8119015.0,2931649.6471428573,2510833.9741962953,26680.58,470000.0,170240.08285714287,145209.64882466107,7
614,LINIERS,21.0,3,2016,85012.3,11794300.0,2688888.978125,2154232.913576996,5045.54,700000.0,164032.673125,129041.18949725149,32
615,LINIERS,21.0,3,2017,649784.29,7664880.0,2350743.141363636,1326617.7278483633,40691.63,480000.0,147211.26852272727,83077.16615802968,88
616,LINIERS,21.0,4,2015,1233540.0,7366975.0,2804448.9153846153,1964263.8782491738,72000.0,430000.0,163559.77461538464,114724.14878333322,13
617,LINIERS,21.0,4,2016,718582.5,6706770.0,2343315.9576923074,1337424.4971874694,45000.0,420000.0,146746.15384615384,83753.92160738137,26
618,LINIERS,21.0,4,2017,169999.85,5748660.0,2318310.6308695655,1273333.699875433,10645.95,360000.0,145180.23804347825,79740.34503419987,46
619,LINIERS,21.0,5,2015,1165010.0,9936850.0,2980246.75,2538504.8609736753,68000.0,580000.0,173833.33333333334,148244.7811948709,12
620,LINIERS,21.0,5,2016,1197637.5,4311495.0,1856338.125,831286.2348750749,75000.0,270000.0,116250.0,52057.87862824154,12
621,LINIERS,21.0,5,2017,766488.0,10379525.0,2899535.4283695654,2103267.361734749,48000.0,650000.0,180981.2122826087,130867.67204754644,92
622,LINIERS,21.0,6,2015,1284937.5,2850292.5,1922059.2857142857,600977.1177834655,75000.0,165000.0,111714.28571428571,34596.311391603034,7
623,LINIERS,21.0,6,2016,926173.0,4151810.0,1661952.3461538462,902831.4984384865,58000.0,260000.0,104076.92307692308,56538.27838798174,13
624,LINIERS,21.0,6,2017,878267.5,10410255.0,2246451.1653846153,1728982.8155196393,55000.0,630000.0,135582.05128205128,101324.40090676196,78
625,LINIERS,21.0,7,2014,1381960.0,3454900.0,2245685.0,830704.1049333541,80000.0,200000.0,130000.0,48088.46015417836,5
