index,Name,Longitude,Latitude,Type,b_id
35,LA TORTUGA MANUELITA,-58.47354378,-34.6581768,early childhood center,10
36,LAS CHICHARRITAS,-58.41459329,-34.65460446,early childhood center,46
37,LEANDRO N. ALEM,-58.3833698,-34.61980218,early childhood center,38
38,LEGION DE LA BUENA VOLUNTAD,-58.483699300000005,-34.63071981,early childhood center,8
39,LOS SUENOS DE PATRICIA,-58.47484088,-34.60033139,early childhood center,27
40,LUNITA,-58.47507516,-34.682632899999994,early childhood center,30
41,MADRE DEL PUEBLO,-58.43098548,-34.65033464,early childhood center,19
42,MEDALLA MILAGROSA,-58.3996073,-34.62941652,early childhood center,40
43,MI CASITA,-58.37583259,-34.61995823,early childhood center,41
44,MI LUGAR EN EL SUR,-58.45312227,-34.64445766,early childhood center,19
45,MI SUENO,-58.40803028,-34.60495283,early childhood center,4
46,MIS PRIMEROS ANOS,-58.39448194,-34.61767316,early childhood center,4
47,MIS PRIMEROS PASOS,-58.44813097,-34.57579713,early childhood center,28
48,MORRONCITOS,-58.49056562,-34.64656547,early childhood center,10
49,NINGUN LUGAR ESTA LEJOS,-58.45076102,-34.58227091,early childhood center,26
50,OSITOS CARINOSOS,-58.48480229999999,-34.68488582,early childhood center,30
51,PAMPERITO,-58.4374243,-34.64734593,early childhood center,9
52,PEQUENOS PASOS,-58.35843327,-34.63200882,early childhood center,24
54,PEQUITAS,-58.51620566,-34.63892486,early childhood center,21
55,PIDO GANCHO,-58.37331656,-34.64621174,early childhood center,32
56,PILARCITOS,-58.41290414,-34.6572182,early childhood center,46
57,PIM POM,-58.39894693,-34.65101826,early childhood center,32
58,PIMPOLLITOS DE VIDA,-58.46829896,-34.63749716,early childhood center,19
59,PROYECTO DE VIDA,-58.46862962,-34.66586774,early childhood center,30
60,PUENTECITO LATINOAMERICANO,-58.46544856,-34.67728444,early childhood center,30
61,PULGARCITO,-58.37617628,-34.65241626,early childhood center,32
62,RAICES DE AMOR,-58.48733893,-34.65628129,early childhood center,18
63,RAYITO DE ESPERANZA,-58.47274336,-34.67930156,early childhood center,30
64,RAYUELA,-58.37042896,-34.64788168,early childhood center,32
66,SAN FRANCISCO DE ASIS,-58.40703967,-34.61965304,early childhood center,5
67,SAN JOSE DE FLORES,-58.46289009,-34.63023016,early childhood center,19
68,SAN JUAN EVANGELISTA,-58.35864687,-34.63719906,early childhood center,24
69,SEMILLA DEL ALFARERO,-58.43122408,-34.64085339,early childhood center,9
70,SEMILLITAS,-58.39729571,-34.61070102,early childhood center,4
71,SEMILLITAS DE ESPERANZA,-58.4692108,-34.65398169,early childhood center,10
72,THIAGO ANDRES,-58.45575583,-34.66454991,early childhood center,37
74,UN CUENTITO DE VERDAD,-58.47139113,-34.68419511,early childhood center,30
75,ZAPATITO,-58.38865264,-34.62208803,early childhood center,38
0,Nº 1,-58.38370693339062,-34.63335306169521,elder care center,32
1,Nº 2,-58.445565897298394,-34.61096209052728,elder care center,11
2,Nº 3,-58.45473056609532,-34.637539641629076,elder care center,19
3,Nº 4,-58.49751597763145,-34.636196903291605,elder care center,17
4,Nº 5,-58.463186353193294,-34.578968999409454,elder care center,3
5,Nº 6,-58.38370693339062,-34.63335306169521,elder care center,32
6,Nº 7,-58.39134957465014,-34.62367140714866,elder care center,38
7,Nº 8,-58.50320662979248,-34.58120278271628,elder care center,16
8,Nº 9,-58.430634096604884,-34.57975681329982,elder care center,0
9,Nº 10,-58.49126549128218,-34.678112131503674,elder care center,30
10,Nº 12,-58.47934880132925,-34.64995976100541,elder care center,10
11,Nº 13,-58.430634096604884,-34.57975681329982,elder care center,0
12,Nº 15,-58.43194288172035,-34.59617549907172,elder care center,6
13,Nº 16,-58.47427297805831,-34.686745195332755,elder care center,34
14,Nº 17,-58.413542504548815,-34.61821870920354,elder care center,12
15,Nº 18,-58.50320662979248,-34.58120278271628,elder care center,16
16,Nº 19,-58.376204497895976,-34.62477531499186,elder care center,41
17,Nº 20,-58.48855795531164,-34.55032580741456,elder care center,15
18,Nº 21,-58.505839305659066,-34.64911273527296,elder care center,18
19,Nº 22,-58.368896772105806,-34.63216264334713,elder care center,24
20,Nº 23,-58.36097190332009,-34.63793674070542,elder care center,24
21,Nº 24,-58.496321485695496,-34.66796459122349,elder care center,18
22,Nº 25,-58.433862358350574,-34.66119279573987,elder care center,37
23,Nº 26,-58.468378961795594,-34.58790331815028,elder care center,3
24,Nº 27,-58.49443298181475,-34.63810419298927,elder care center,17
25,Nº 28,-58.43508965360334,-34.636600009801505,elder care center,9
26,Nº 29,-58.40812672581818,-34.63747128392533,elder care center,40
27,Nº 31,-58.51212905750654,-34.617490912352444,elder care center,33
28,CENTRO CULTURAL,-58.430634096604884,-34.57975681329982,elder care center,0
29,CENTRO DE DIA MODELO,-58.37645427730706,-34.62488282761012,elder care center,41
0,Hogar 26 de Julio,-58.373034999999994,-34.612617,hostel,36
1,Hogar Félix Lora,-58.369815,-34.617307000000004,hostel,41
2,Parador Bepo Ghezzi,-58.403496,-34.646345000000004,hostel,40
3,Centro de Acompañamiento y Seguimiento Social La Boca,-58.354245999999996,-34.636198,hostel,24
4,Centro de Inclusión Social Costanera,-58.35345699999999,-34.623441,hostel,24
5,Parador Azucena Villaflor,-58.375788,-34.627075,hostel,38
7,Hogar El Amparo - Ejército de Salvación,-58.38360600000001,-34.629123,hostel,38
8,Hogar El Refugio - Ejército de Salvación,-58.379228000000005,-34.640971,hostel,32
9,Hogar Betania - Ejército de Salvación,-58.38360600000001,-34.629123,hostel,38
10,Hogar Año Santo - Cáritas,-58.375567000000004,-34.623969,hostel,41
11,Hogar San Martín de Porres - Cáritas,-58.41478000000001,-34.643137,hostel,46
12,Hogar San Francisco de Asís - Cáritas,-58.41478000000001,-34.643137,hostel,46
13,Parador San José de Flores - Arzobispado de Buenos Aires,-58.46289,-34.630233000000004,hostel,19
15,Hogar Amparo Maternal - Asociación Damas Católicas de San José,-58.447906999999994,-34.548038,hostel,1
16,Hogar Niño Jesús - Comedor Infantil Niño Jesús Asociación Civil,-58.446833,-34.59254,hostel,26
17,Centro de Integración Monteagudo - Proyecto 7,-58.404633,-34.642554,hostel,40
18,Hogar Frida - Proyecto 7,-58.395920999999994,-34.63277,hostel,40
20,Hogar Renacer Madres - Accionando Sueños,-58.393786,-34.610494,hostel,4
21,Hogar Renacer - Accionando Sueños,-58.503671999999995,-34.634434000000006,hostel,17
