long,lat,nombre_centro,calle,altura,piso_dpto,barrio,comuna,codigo_postal,codigo_postal_argentino
-58.433070,-34.645313,EL REGRESO,RIESTRA AV. ,1669,,Parque Chacabuco,7,1437,C1437HIF
-58.361145,-34.634578,JUAN DE DIOS FILIBERTO,RODRIGUEZ MARTIN ,732,,La Boca,4,1159,C1159ADH
-58.367988,-34.648843,HUGO DEL CARRIL,AV. PATRICIOS ,1941,,Barracas,4,1266,C1266AAF
-58.424894,-34.613621,ALMAGRO-BOEDO, ORIENTALES ,33,,BOEDO,5,1182,C1182AEA
-58.400647,-34.621527,PUERTA ABIERTA A LA DIVERSIDAD,ALBERTI ,1048,,Balvanera,3,1223,C1223AAL
-58.487831,-34.648036,AMANECER,AV DIRECTORIO ,4675,,Parque Avellaneda,9,1407,C1407HGG
-58.419688,-34.609737,SIEMPRE PRIMAVERA- ASOCIACION CIVIL,BARTOLOME MITRE ,3788,,Almagro,5,1201,C1201AAT
-58.419153,-34.623615,GRUPO PARA VIVIR MEJOR,CASTRO BARROS ,966,,Boedo,5,1217,C1217ABJ
-58.419066,-34.604383,FLORECER DE ALMAGRO,GOMEZ VALENTIN ,3863,,Almagro,5,1191,C1191AAU
-58.426893,-34.620739,27 DE OCTUBRE,MU,607,,Almagro,5,,
-58.426678,-34.611198,DULCES ENCUENTROS,QUERANDIES ,4290,,Almagro,5,1183,C1183AGB
-58.385944,-34.616493,LA CASA DE ANGELA,SAN JOSE ,683,,Monserrat,1,1076,C1076AAM
-58.430405,-34.629634,DEL BICENTENARIO,VIEL ,1070,,Parque Chacabuco,7,1424,C1424BJR
-58.414202,-34.617825,SAN CRISTOBAL,VIRREY LINIERS ,575,,Almagro,5,1220,C1220AAA
-58.452559,-34.610938,MI ESPERANZA,GAONA ,1730,,CABALLITO,6,1416,C1416DRS
-58.457669,-34.623095,VERDE ESPERANZA,Bogotá ,1920,,Flores,7,1406,C1406GBJ
-58.454479,-34.609947,NUESTRA SENORA DE LOS BUENOS AIRES,PAYSANDU ,1221,,Caballito,6,1416,C1416CDC
-58.524803,-34.635700,VOLVER A VIVIR,RESERVISTAS ARGENTINOS ,452,,Liniers,9,1408,C1408AIJ
-58.457536,-34.623131,YO SOY LUZ,TERRERO ,300,,Flores,7,1406,C1406BKD
-58.441038,-34.618807,DAR AMOR,YERBAL ,719,,Caballito,6,1405,C1405CDO
-58.442199,-34.619338,NUESTRO TIEMPO DE CABALLITO,YERBAL ,813,,Caballito,6,1405,C1405CDQ
-58.453366,-34.636421,COMPARTIENDO ALEGRIAS,LAUTARO ,866,,Flores,7,1406,C1406DKR
-58.455797,-34.644311,ABUELOS PORTEÑOS,ALVAREZ CRISOSTOMO ,2725,,Flores,7,1406,C1406HUC
-58.460524,-34.651552,PINTITAS,AV. MARIANO ACOSTA ,2005,,PARQUE AVELLANEDA,7,1407,C1407KCO
-58.460561,-34.642959,REEMPEZAR,AV.PERON EVA ,3100,,Flores,7,1406,C1406HNS
,,VIRGEN DE URKUPIÑA,FLORES MZA ,23,,FLORES,7,,
-58.431837,-34.629664,AMIGOS DEL PARQUECITO,BEAUCHEFF ,1050,,Parque Chacabuco,7,1424,C1424BDV
-58.469591,-34.620505,LA FABRICA,BOLIVIA ,932,,Flores,7,1406,C1406ADR
-58.466150,-34.633854,EL TIEMPO DE LOS SUEÑOS,BONIFACIO JOSE ,2757,,Flores,7,1406,C1406GYG
-58.460690,-34.620740,VOLVER A VIVIR DIAS FELICES,BOYACA AV ,561,,Flores,7,1406,C1406BHI
-58.440809,-34.644127,LOS GALANCITOS,CAMILO TORRES ,2050,,FLORES,7,1406,C1406DFB
-58.445075,-34.642089,MONSEÑOR VERNAZZA,CARABOBO AV ,1602,,Parque Chacabuco,7,1406,C1406DHQ
,,PRESIDENTE RIVADAVIA,CASTA,642,,FLORES,7,,
-58.440122,-34.643368,LA RAZON DE VIVIR,COBO AV ,1780,,PARQUE CHACABUCO,7,1406,C1406ILP
-58.423936,-34.640336,EL SUR DE LOS ABUELITOS,COBO AV ,526,,Nueva Pompeya,4,1424,C1424DEN
-58.464993,-34.634199,LOS AÑOS FELICES,CULPINA ,350,,Flores,7,1406,C1406ENH
-58.466527,-34.630964,HORAS INOLVIDABLES,CULPINA ,75,,Flores,7,1406,C1406ENA
-58.447063,-34.635102,CENTRO CULTURAL Y RECREATIVO PARA LA TERCERA EDAD,CURAPALIGUE AV ,1040,,,0,1406,C1406DAX
-58.432283,-34.643527,VIVIR EN AMISTAD,DEL BARCO CENTENERA ,2141,,Parque Chacabuco,7,1437,C1437AAB
-58.453285,-34.636386,PASELO BIEN,LAUTARO ,860,,Flores,7,1406,C1406DKR
-58.432482,-34.638951,NUESTRA ESPERANZA,DEL BARCO CENTENERA ,1762,,Parque Chacabuco,7,1424,C1424ANJ
-58.463224,-34.627355,PLAZA FLORES,FRAY CAYETANO RODRIGUEZ ,115,,Flores,7,1406,C1406AVC
-58.453897,-34.635096,CELEBRAR LA VIDA,LAUTARO ,722,,Flores,7,1406,C1406DKP
-58.465375,-34.647303,MOMENTOS FELICES,MARIANO ACOSTA ,1544,,Parque Avellaneda,9,1407,C1407KCF
-58.464364,-34.643893,AMOR MAS AMOR,MARTI JOSE ,1130,,Flores,7,1406,C1406FBX
-58.439641,-34.631344,CLUB DE LA TERCERA EDAD CASA FELIZ,PASAJE DEL PROGRESO ,948,,PARQUE CHACABUCO,7,1424,C1424ATB
-58.437615,-34.637484,NUEVA ESPERANZA,CASTA,1377,,Flores,7,,
-58.454677,-34.639662,UN LUGAR DIFERENTE,AVENIDA EVA PERON ,2385,,Flores,7,1406,C1406HML
-58.455486,-34.641086,UN NUEVO HOGAR,PERRAULT ,1134,,Flores,7,1406,C1406EMB
-58.435090,-34.636603,ENCUENTRO VECINAL SUR,PICHEUTA ,1517,,Parque Chacabuco,7,1424,C1424APE
-58.468613,-34.641855,EL ESFUERZO DE LOS ABUELOS,PORTELA ,836,,Flores,7,1406,C1406FDR
-58.466050,-34.640948,CRECER EN SOLIDARIDAD,QUIRNO ,790,,FLORES,7,1406,C1406EZP
-58.436570,-34.631531,CLUB DE LA TERCERA EDAD SANTA ISABEL DE HUNGRIA,SAN JOSE DE CALASANZ ,1049,,Parque Chacabuco,7,1424,C1424AHU
-58.473949,-34.637492,AMOR Y VIDA,AV DIRECTORIO ,3439,,Floresta,10,1407,C1407HFB
-58.432919,-34.634935,EL ENCANTO POR LA VIDA,SANTANDER ,915,,Parque Chacabuco,7,1424,C1424CSM
-58.491816,-34.677758,LA LUZ DE EVA,MONTIEL ,3995,,Villa Lugano,8,1439,C1439HEG
-58.476248,-34.678971,COMPARTIENDO SUENOS,CAFAYATE ,4295,,Villa Lugano,8,1439,C1439FUE
,,LA NUEVA ESPERANZA,CARLOS MARIA RAMIREZ ,2689,,,0,,
-58.462716,-34.686015,EL PARAJE DE LA ALEGRIA,CEFERINO RAMIREZ ,5656, 2 Y,,0,1439,C1439DNF
-58.471087,-34.682146,CAÑADA DE GOMEZ,CHILAVERT ,5819,,Villa Lugano,8,1439,C1439CLM
-58.476219,-34.685586,NUESTRO RINCONCITO,COSQUIN ,4748,,VILLA RIACHUELO,8,1439,C1439GRJ
-58.463291,-34.687105,CENTRO SOCIAL Y CULTURAL COMPARTIR,COSTAMAGNA SANTIAGO ,5761,,Villa Lugano,8,1439,C1439DMA
,,LUGANO CENTRAL,DE LA ROZA JOSE I DR ,5945,,VILLA RIACHUELO,8,,
-58.468236,-34.688053,RENACER 2001,DE LA TORRE LISANDRO AV ,5151,,Mataderos,9,1439,C1439GFQ
-58.471902,-34.685184,ASOCIACION DE JUB Y PENS DE VILLA LUGANO,DE LA TORRE LISANDRO AV ,4837,,Mataderos,9,1439,C1439GFK
,,RENACIMIENTO,DELLEPIANE LUIS J TTE  GRAL.AV ,4400,,,0,,
-58.464408,-34.683087,CORAZONES AMIGOS,DESCALZI NICOLAS ,5586,,Villa Lugano,8,1439,C1439DED
,,CENTRO SOCIAL PARA LA TERCERA EDAD EVA PERON,GOLETA MANUELITA LOCAL ,43,,VILLA LUGANO,8,,
-58.492719,-34.679541,HIMNO A LA VIDA,GOLETA SANTA CRUZ ,6873,,Villa Lugano,8,1439,C1439HSG
-58.473519,-34.690158,CENTRO SOCIAL Y CULTURAL DE LA TERCERA EDAD FLORECER,GUAMINI ,5202,,VILLA LUGANO,8,1439,C1439HAP
-58.486455,-34.663377,GENTE COMO UNO,LARRAYA ,2707,,Villa Lugano,8,1439,C1439EJC
-58.483696,-34.667497,PAMPERO,LARRAZABAL ,3033,,Villa Lugano,8,1439,C1439ECE
-58.484975,-34.671169,RINCON FELIZ,LEGUIZAMON MARTINIANO ,3434,,Villa Lugano,8,1439,C1439FRL
-58.469595,-34.692339,ARCO IRIS DE LUGANO CLUB SOCIAL Y DEPORTIVO 9 DE JULIO,MADARIAGA ,6526,,Villa Riachuelo,8,1439,C1439DKJ
-58.459975,-34.685790,9 DE JULIO,MARTIN GUERRICO ,5431,,Villa Lugano,8,1439,C1439DTA
-58.484795,-34.670008,LUGANO EN MARCHA,MURGUIONDO ,3384,,Villa Lugano,8,1439,C1439FQJ
-58.480373,-34.671788,TIEMPO FELIZ,OLIDEN ,3604,,Villa Lugano,8,1439,C1439FNR
-58.489823,-34.664646,AMIGOS Y ABUELOS DEL BARRIO,OLIDEN ,2821,,,0,1439,C1439FNA
-58.440714,-34.663961,QUINTA DEL MOLINO,PORTELA ,3370,,Villa Soldati,8,1437,C1437CAD
-58.468520,-34.657445,DE LA TERCERA EDAD Y ACTIVIDADES INTERMEDIAS JUAN JOSE NAGERA,SANTANDER ,4041,,Parque Avellaneda,9,1407,C1407HYO
-58.478026,-34.666331,ALBARINO,SANTANDER ,5112,,Villa Lugano,8,1439,C1439ASN
-58.480050,-34.671389,LA LUZ DE SILVIA,SARAZA ,5564,,Villa Lugano,8,1439,C1439APB
-58.465543,-34.682975,MI ESPERANZA,SOLDADO DE LA FRONTERA ,5012,,Villa Lugano,8,1439,C1439FPD
-58.496746,-34.621864,DE LA TERCERA EDAD 8 DE OCTUBRE,San Blas ,4369,,Floresta,10,1407,C1407FTU
-58.475026,-34.664462,RUCA MALEM,ARAUJO ,2950,,Villa Lugano,8,1439,C1439FAL
-58.485996,-34.647274,RAZONES PARA VIVIR,AV BRUIX ,4354,,Parque Avellaneda,9,1407,C1407IKV
-58.509715,-34.665561,MOMENTOS DE AMIGOS,AV DIRECTORIO ,7315,,Mataderos,9,1440,C1440ATM
-58.509852,-34.665036,LOS ABUELOS DE MATADEROS,JOSE LEON SUAREZ ,2476,,Mataderos,9,1440,C1440EYT
-58.523544,-34.651486,LA ARMONIA,CAAGUAZU ,7300,,Liniers,9,1408,C1408EUF
-58.493842,-34.651660,SUENOS DEL ALMA,CHASCOMUS ,5240,,Mataderos,9,1440,C1440AQJ
-58.517458,-34.652556,ARMANDO F. CANZZIANI ,COSQUIN ,1365,,Liniers,9,1408,C1408ILA
-58.529183,-34.647312,LINIERS SUR,GRAL PAZ  AV. ,11297,,Liniers,9,,
-58.472925,-34.651892,FLORENTINO AMEGHINO,LA FACULTAD ,1772,,Parque Avellaneda,9,1407,C1407JHH
-58.524222,-34.641491,POR SIEMPRE JUNTOS,IBARROLA ,6955,,Liniers,9,1408,C1408DXM
-58.525691,-34.649658,DESHOJANDO MARGARITAS,MONTIEL ,968,,Liniers,9,1408,C1408FVT
-58.503474,-34.647446,GANAS DE VIVIR,POLA ,934,,Mataderos,9,1440,C1440DAF
-58.521403,-34.636559,LA PORTENA,RESERVISTAS ARGENTINOS ,219,,Liniers,9,1408,C1408AIE
-58.476921,-34.658358,ESTRELLA,SARAVIA ,2267,,Parque Avellaneda,9,1439,C1439FKE
-58.491778,-34.646230,EL HORNERO,TAPALQUE ,4834,,Parque Avellaneda,9,1407,C1407HCL
-58.519620,-34.627428,DE VILLA REAL,ARREGUI ,6013,,Versalles,10,1408,C1408AVO
-58.509055,-34.619768,SAN PEDRO APOSTOL,BERMUDEZ ,2011,,,0,1417,C1417BWC
-58.511846,-34.625218,LOS GURISES,BOLONIA ,5382,,Villa Luro,10,1407,C1407KMB
-58.500433,-34.625123,MI CASITA,CAMARONES ,4796,,Vélez Sarsfield,10,1407,C1407FND
-58.494680,-34.631633,7 DE JUNIO,BERMUDEZ ,536,,Villa Luro,10,1407,C1407BDH
-58.514968,-34.617349,RINCON DE AMIGOS FRANCISCO MANRIQUE,CERVANTES ,2481,,Villa Devoto,11,1417,C1417CBK
-58.509590,-34.623525,CERVANTES,CALDERON DE LA BARCA ,1733,,Monte Castro,10,1407,C1407KQI
-58.509886,-34.659277,ANGELITA,BRAGADO ,6875,,Mataderos,9,1440,C1440ADM
-58.500780,-34.638585,ALFONSINA STORNI,DANTE ,81,,Villa Luro,10,1407,C1407IBA
-58.502270,-34.631574,ROSAS DE OTOÑO,DIAZ CESAR ,5311,,Villa Luro,10,1407,C1407EUO
-58.494459,-34.638111,VILLA LURO CENTRAL,FALCON RAMON L ,4780,,Villa Luro,10,1407,C1407GTD
-58.525116,-34.631342,AGRUPACION AFILIADOS A PAMI 2,GALLARDO ,616,,Versalles,10,1408,C1408BSL
-58.509638,-34.629711,DR RAMON CARRILLO,GARCIA JUAN A. ,5566,,Villa Luro,10,1407,C1407FXT
-58.495545,-34.622723,MORDISQUITO,CAMARONES ,4356,,Floresta,10,1407,C1407FMV
-58.527065,-34.620288,ASOC CIVIL RECREATIVO DE JUB Y PENS PLAZA VILLA REAL,IRIGOYEN ,2340,,Villa Real,10,1408,C1408CPX
-58.528436,-34.630858,LOS AMIGOS DE VERSAILLES,LASCANO ,6888,,Versalles,10,1408,C1408IJF
-58.496956,-34.642674,RINCON DE LA AMISTAD GRUPO HIV,LEOPARDI ,443,,Villa Luro,10,1407,C1407IDI
-58.496871,-34.624914,LA PRIMAVERA DE LA VIDA,MAGARI,4546,,Vélez Sarsfield,10,1407,C1407FDZ
-58.494545,-34.639845,FELICIDAD,HOMERO ,243,,Villa Luro,10,1407,C1407IFE
-58.509200,-34.613648,PLENO VIVIR,PASAJE BOSTON ,2775,,Villa Devoto,11,1417,C1417BIC
-58.479059,-34.635756,DE CIEGOS Y DISMINUIDOS VISUALES,RAFAELA ,3786,,Floresta,10,1407,C1407GUF
-58.524803,-34.635700,VOLVER A VIVIR,RESERVISTAS ARGENTINOS ,452,,Liniers,9,1408,C1408AIJ
-58.514365,-34.603063,ABUELOS UNIDOS,RICARDO GUTIERREZ ,4302,,Villa Devoto,11,1419,C1419IGL
-58.496746,-34.621864,8 DE OCTUBRE,SAN BLAS ,4369,,Floresta,10,1407,C1407FTU
-58.509722,-34.631444,ABUELOS DE VILLA LURO,SAN BLAS ,5462,,Villa Luro,10,1407,C1407FUR
-58.503173,-34.614858,LUCES DE BUENOS AIRES,SANABRIA ,2350,,Monte Castro,10,1417,C1417AZF
-58.493808,-34.624915,SUYAI,SEGUROLA AV. ,1174,,Floresta,10,1407,C1407ANX
-58.513943,-34.627200,LA MUCHACHADA DEL AYER,VICTOR HUGO ,1351,,VERSALLES,10,1407,C1407BWY
,,PLAZA TERAN,MELINQUE ,5400,,Villa Real,10,,
-58.497516,-34.636200,DE VILLA LURO LA AMISTAD,YERBAL ,5025,,Villa Luro,10,1407,C1407EBI
-58.494422,-34.581582,ARGENTINA NUESTRO HOGAR,av mosconi ,2210,,Villa Pueyrredón,12,1419,C1419EQO
-58.512129,-34.617494,DOÑA FILOMENA,BERMUDEZ ,2316,,Monte Castro,10,1417,C1417BWJ
-58.521478,-34.610241,AMOR Y PAZ,BERMUDEZ ,3351,,Villa Devoto,11,1419,C1419CAC
-58.464833,-34.615372,ESENCIA DE VIDA,BOYACA ,1120,,Villa General Mitre,11,1416,C1416AAB
-58.464889,-34.615299,14 DE MAYO DE 1989,BOYACA AV ,1132,,Villa General Mitre,11,1416,C1416AAB
,,ASOC DE LA TERCERA EDAD SARMIENTO EL SAUCE,BUFANO ALFREDO DR ,2030,,,0,,
-58.513339,-34.620965,RAMON CARRILLO DE VILLA DEVOTO,CALDERON DE LA BARCA ,2086,,Monte Castro,10,1417,C1417CIF
-58.487759,-34.616142,HOMERO MANZI,CAMARONES ,3487,,Villa Santa Rita,11,1407,C1407FMC
-58.475306,-34.605671,CARACAS,CARACAS ,2321,,Villa del Parque,11,1416,C1416AIW
-58.476747,-34.603960,ESQUINA DE ENCUENTRO,CARACAS ,2500,,Villa del Parque,11,1416,C1416AIZ
-58.486261,-34.618439,VOLVER A EMPEZAR,DIAZ CESAR GRAL ,3550,,Villa Santa Rita,11,1407,C1407ETF
-58.459721,-34.603331,12 DE OCTUBRE,FRAGATA SARMIENTO ,1951,,VILLA CRESPO,11,1416,C1416CBQ
-58.462106,-34.611259,PRONAPO,Galicia ,1794,,,0,1416,C1416DGZ
-58.498881,-34.610530,EL ALBA,GONZALEZ JOAQUIN V. ,2469,,Villa del Parque,11,1417,C1417AQG
-58.514365,-34.603063,SOLAMENTE AMIGOS,GUTIERREZ RICARDO ,4302,,Villa Devoto,11,1419,C1419IGL
,,CENTRO CULTURAL Y SOCIAL EVA DUARTE,LAVALLOL ,4210,,Villa Devoto,11,1419,C1419AKF
-58.508943,-34.585553,JUVENILLA,CUENCA ,5089,,Villa Pueyrredón,12,1419,C1419ABW
-58.499126,-34.602540,LOS AUTENTICOS DE VILLA DEL PARQUE,Tinogasta ,3455,,Villa del Parque,11,1417,C1417EIC
-58.492457,-34.611361,TITA MERELLO,MARTIN PESCADOR ,2167,,Villa del Parque,11,1417,C1417AKC
-58.491358,-34.602565,LA FLOR DEL PARQUE,NOGOYA ,3045,,Villa del Parque,11,1417,C1417FNE
-58.510127,-34.613767,NUESTRO MUNDO FELIZ,NOGOYA ,4682,,Villa Devoto,11,1417,C1417FOL
-58.498778,-34.606885,HUGO DEL CARRIL DE VILLA DEL PARQUE,NOGOYA ,3705,,Villa del Parque,11,1417,C1417FNS
-58.510548,-34.614016,DEVOTO SUR,NOGOYA ,4712,,Villa Devoto,11,1417,C1417FON
-58.511817,-34.615239,DR RAMON CARRILLO 1N ASOCIACION CIVIL,POSADAS ALEJANDRO ,2760,,Villa Devoto,11,1417,C1417BQB
-58.521590,-34.608844,ABUELOS SIGLO XXI,QUEVEDO ,3770,,Villa Devoto,11,1419,C1419BZF
-58.483627,-34.612531,14 DE MAYO,SAN BLAS ,3075,,VILLA GRAL. MITRE,11,1416,C1416EGC
-58.489790,-34.597174,REJUVENECER EL ATARDECER,SAN MARTIN AV. ,5125,,Agronomía,15,1417,C1417DSL
-58.489790,-34.597174,SAGRADO CORAZON,SAN MARTIN AV. ,5125,,Agronomía,15,1417,C1417DSL
-58.497229,-34.610851,CARLOS CARELLA,SAN NICOLAS ,2394,,Villa del Parque,11,1417,C1417AOF
-58.503995,-34.613872,CAPICUA,SANABRIA ,2442,,Monte Castro,10,1417,C1417AZH
-58.468886,-34.602770,LA PATERNAL,SANCHEZ ,2256,,Villa General Mitre,11,1416,C1416BQL
-58.507874,-34.576325,"CLUB DE LA TERCERA JUVENTUD-DELEGACION RINCON ARGENTINO ""LA CASA DE EVA PERON""",ALBARELLOS ,2705,,Villa Pueyrredón,12,1419,C1419FSE
-58.494826,-34.570200,LOS CAMINANTES,ANDONAEGUI ,3148,,VILLA URQUIZA,12,1431,C1431DWP
-58.485679,-34.551488,CASA DEL JUBILADO,BESARES ,3933,,Saavedra,12,1430,C1430CHK
-58.488569,-34.573217,DEL CARMEN DE URQUIZA TERCERA EDAD,CULLEN ,5115,,VILLA URQUIZA,12,1431,C1431BXG
-58.501989,-34.573005,EL REENCUENTRO DE LOS AMIGOS,IBERA ,6085,,Villa Urquiza,12,1431,C1431AFC
-58.509761,-34.579865,LUNA BU,LARSEN ,2990,,Villa Pueyrredón,12,1419,C1419FPN
-58.475699,-34.575355,SAAVEDRA-URQUIZA,LUGONES ,1955,,Villa Urquiza,12,1430,C1430EBE
-58.492430,-34.551559,ARGENTINA EN MOVIMIENTO,MACHA,4516,,Saavedra,12,1430,C1430DZF
,,RECREATIVO SAAVEDRA,MANZANARES ,4851,,Saavedra,12,,
-58.496230,-34.564146,EL FUTURO,AV. triunvirato ,5852,,Villa Urquiza,12,1431,C1431FCY
-58.483108,-34.569504,SIEMPRE JUNTOS DE VILLA URQUIZA,RIVERA PEDRO I ,4671,,Villa Urquiza,12,1431,C1431BVC
-58.473265,-34.566898,JUNTOS,ROMULO NAON ,2500,,Villa Urquiza,12,1430,C1430EPN
-58.483396,-34.549324,CONVIVENCIA FELIZ,RUIZ HUIDOBRO ,3538,,Saavedra,12,1430,C1430CJP
-58.482998,-34.547467,ESTRELLAS DE SAAVEDRA,SUPERI ,4437,,Saavedra,12,1430,C1430FGG
-58.497990,-34.588896,AMISTAD Y LIBERTAD,TERRADA ,4243,,Villa Pueyrredón,12,1419,C1419DKK
-58.493259,-34.567894,NUESTRA CASA,TRIUNVIRATO AV. ,5537,,Villa Urquiza,12,1431,C1431FCI
-58.466632,-34.555341,2 DE ABRIL-MALVINAS ARGENTINAS,MOLDES ,3045,,Núñez,13,1429,C1429AFC
-58.467446,-34.559117,DE ADULTOS MAYORES QUE SABEN VIVIR,UGARTE MANUEL ,2991,,BELGRANO,13,1428,C1428BSU
-58.458544,-34.573208,FORTALEZA,VIRREY AVILES ,3167,,Colegiales,13,1426,C1426EEE
