X,Y,NOMBRE,DIRECCION,DIRECCION_NORMALIZADA,BARRIO,COMUNA,CODIGO_POSTAL,CODIGO_POSTAL_ARGENTINO
-58.44254726,-34.66311313,IRQICHAY,RODRIGO DE TRIANA 3232,"TRIANA, RODRIGO DE 3232",VILLA SOLDATI,COMUNA 08,1437,C1437GBD
-58.39061483,-34.61896551,JUANCITOS,ESTADOS UNIDOS 1721,ESTADOS UNIDOS 1721,CONSTITUCION,COMUNA 01,1101,C1101ABI
,,LA BUENA SEMILLA,CHILAVERT Y AV. ESCALADA MZ. 19 CASA 30 4900 MZ. 19 CASA 30,,,,,
-58.43604674,-34.64845944,LA HORMIGUITA VIAJERA,CAMILO TORRES Y TENORIO 2450,"TORRES Y TENORIO, PRES. 2450",FLORES,COMUNA 07,,
-58.38862947,-34.65465871,LA LECHERITA DEL SUR,VELEZ SARSFIELD 1668,VELEZ SARSFIELD AV. 1668,BARRACAS,COMUNA 04,1285,C1285AAS
-58.51280367,-34.66549011,LA MONA JACINTA,AV. GRAL PAZ 13088/90,"PAZ, GRAL. AV. 13088",MATADEROS,COMUNA 09,1440,C1440FJW
-58.47531087,-34.65685909,LA REINA BATATA,WHITE 2075,WHITE 2075,PARQUE AVELLANEDA,COMUNA 9,,
-58.47354378,-34.6581768,LA TORTUGA MANUELITA,WHITE 2212,WHITE 2212,PARQUE AVELLANEDA,COMUNA 09,1407,C1407IJT
-58.41459329,-34.65460446,LAS CHICHARRITAS,ROMERO 716/18,ROMERO 716,NUEVA POMPEYA,COMUNA 04,1437,C1437DRH
-58.3833698,-34.61980218,LEANDRO N. ALEM,CARLOS CALVO 1218,"CALVO, CARLOS 1218",CONSTITUCION,COMUNA 01,1102,C1102AAZ
-58.4836993,-34.63071981,LEGION DE LA BUENA VOLUNTAD,BOGOTA 3940,BOGOTA 3940,FLORESTA,COMUNA 10,1407,C1407ESN
-58.47484088,-34.60033139,LOS SUEÑOS DE PATRICIA,AV. SAN MARTIN 3741,SAN MARTIN AV. 3741,PATERNAL,COMUNA 15,1416,C1416CSM
-58.47507516,-34.6826329,LUNITA,LISANDRO DE LA TORRE 4548,"DE LA TORRE, LISANDRO 4548",VILLA LUGANO,COMUNA 08,1439,C1439GFF
-58.43098548,-34.65033464,MADRE DEL PUEBLO,AV. PERITO MORENO Y AV. CRUZ,"MORENO, PERITO AV. Y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",FLORES,COMUNA 07,,
-58.3996073,-34.62941652,MEDALLA MILAGROSA,ALBERTI 1674,ALBERTI 1674,PARQUE PATRICIOS,COMUNA 04,1247,C1247AAJ
-58.37583259,-34.61995823,MI CASITA,CHACABUCO 1017,CHACABUCO 1017,SAN TELMO,COMUNA 01,1069,C1069AAU
-58.45312227,-34.64445766,MI LUGAR EN EL SUR,AVENIDA VARELA 1420,VARELA AV. 1420,FLORES,COMUNA 07,1406,C1406ELD
-58.40803028,-34.60495283,MI SUEÑO,ECUADOR 439,ECUADOR 439,BALVANERA,COMUNA 03,1214,C1214ACE
-58.39448194,-34.61767316,MIS PRIMEROS AÑOS,SARANDI 748,SARANDI 748,BALVANERA,COMUNA 3,,
-58.44813097,-34.57579713,MIS PRIMEROS PASOS,LACROZE 2984,"LACROZE, FEDERICO AV. 2984",COLEGIALES,COMUNA 13,1426,C1426CQP
-58.49056562,-34.64656547,MORRONCITOS,HOMERO 873/5,HOMERO 873,PARQUE AVELLANEDA,COMUNA 09,1407,C1407IFQ
-58.45076102,-34.58227091,NINGUN LUGAR ESTA LEJOS,OLLEROS 3610,OLLEROS 3610,CHACARITA,COMUNA 15,1427,C1427EED
-58.4848023,-34.68488582,OSITOS CARIÑOSOS,AV. DELLEPIANE NORTE Y GENERAL PAZ MZ 3 CASA 40,"DELLEPIANE, LUIS, TTE. GRAL. Y PAZ, GRAL. AV.",VILLA LUGANO,COMUNA 08,,
-58.4374243,-34.64734593,PAMPERITO,RIESTRA Y CAMILO TORRES MZ. 28 C.47,"RIESTRA AV. Y TORRES Y TENORIO, PRES.",PARQUE CHACABUCO,COMUNA 07,,
-58.35843327,-34.63200882,PEQUEÑOS PASOS,ARISTOBULO DEL VALLE 271,"VALLE, ARISTOBULO DEL 271",BOCA,COMUNA 04,1160,C1160ADE
,,PEQUEÑOS SUEÑOS,"LACARRA Y PASAJE S. MANZANA 21, CALLE 572, BARRIO CARRILLO",,,,,
-58.51620566,-34.63892486,PEQUITAS,ESTEVES SAGUI 19,ESTEVES SAGUI 19,LINIERS,COMUNA 09,1408,C1408HGA
-58.37331656,-34.64621174,PIDO GANCHO,AV. MONTES DE OCA 1667,"MONTES DE OCA, MANUEL AV. 1667",BARRACAS,COMUNA 4,,
-58.41290414,-34.6572182,PILARCITOS,RIO CUARTO 4584,RIO CUARTO 4584,NUEVA POMPEYA,COMUNA 04,1437,C1437HZF
-58.39894693,-34.65101826,PIM POM,AV. IRIARTE 3700,"IRIARTE, GRAL. AV. 3700",BARRACAS,COMUNA 04,1437,C1437JQP
-58.46829896,-34.63749716,PIMPOLLITOS DE VIDA,QUIRNO 538,QUIRNO 538,FLORES,COMUNA 07,1406,C1406EZL
-58.46862962,-34.66586774,PROYECTO DE VIDA,ESCALADA 3037,ESCALADA AV. 3037,VILLA LUGANO,COMUNA 08,1439,C1407LEO
-58.46544856,-34.67728444,PUENTECITO LATINOAMERICANO,CHILAVERT MZ. 28 C. 25 ENTRADA POR CALLE POLA,"CHILAVERT, MARTINIANO, CORONEL Y POLA",VILLA LUGANO,COMUNA 8,,
-58.37617628,-34.65241626,PULGARCITO,OSVALDO CRUZ 2101,"CRUZ, OSVALDO AV. 2101",BARRACAS,COMUNA 04,1293,C1293ACF
-58.48733893,-34.65628129,RAICES DE AMOR,CORVALAN 1983,CORVALAN 1983,MATADEROS,COMUNA 09,1440,C1440DJE
-58.47274336,-34.67930156,RAYITO DE ESPERANZA,MURGUIONDO 4469,MURGUIONDO 4469,VILLA LUGANO,COMUNA 08,1439,C1439FTG
-58.37042896,-34.64788168,RAYUELA,JOVELLANOS 1710,"JOVELLANOS, GASPAR M. DE 1710",BARRACAS,COMUNA 04,1269,C1269ACR
,,SAN CAYETANO,MZ. 5 Y 8 BARRIO INTA,,,,,
-58.40703967,-34.61965304,SAN FRANCISCO DE ASIS,AV. INDEPENDENCIA 2950,INDEPENDENCIA AV. 2950,SAN CRISTOBAL,COMUNA 03,1225,C1225AAY
-58.46289009,-34.63023016,SAN JOSE DE FLORES,RAMON FALCON 2453 1º,"FALCON, RAMON L.,CNEL. 2453",FLORES,COMUNA 07,1406,C1406GNW
-58.35864687,-34.63719906,SAN JUAN EVANGELISTA,LAMADRID 447,"ARAOZ DE LAMADRID, GREGORIO, GRAL. 447",BOCA,COMUNA 04,1166,C1166AAG
-58.43122408,-34.64085339,SEMILLA DEL ALFARERO,JOSE M. MORENO 1940,"MORENO, JOSE MARIA AV. 1940",PARQUE CHACABUCO,COMUNA 07,1424,C1424ABT
-58.39729571,-34.61070102,SEMILLITAS,HIPOLITO YRIGOYEN 2192,"YRIGOYEN, HIPOLITO 2192",BALVANERA,COMUNA 03,1089,C1089AAP
-58.4692108,-34.65398169,SEMILLITAS DE ESPERANZA,DELLEPIANE Y ZINNY 3955,"DELLEPIANE, LUIS, TTE. GRAL. Y ZINNY",PARQUE AVELLANEDA,COMUNA 09,,
-58.45575583,-34.66454991,THIAGO ANDRES,ANA MARIA JEANER 3900,"JANER, ANA MARIA 3900",VILLA SOLDATI,COMUNA 8,,
,,TIEMPOS DE COMPARTIR,MARTINEZ CASTRO Y PASAJE H,,,,,
-58.47139113,-34.68419511,UN CUENTITO DE VERDAD,AV. FERNANDEZ DE LA CRUZ 6022,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. 6022",VILLA LUGANO,COMUNA 08,1439,C1439COY
-58.38865264,-34.62208803,ZAPATITO,VIRREY CEVALLOS 1166,"CEVALLOS, VIRREY 1166",CONSTITUCION,COMUNA 01,1077,C1077AAX
