barrio,date,count,mean,count 10th percentile,count 90th percentile,min,max,std
1,2018-02-28,2,942.4300000000001,0.0,0.0,764.13,1120.73,252.1542781711229
2,2014-08-31,8,1294.2875,0.0,0.0,611.63,1990.97,722.1676375379493
2,2014-09-30,4,1866.935,0.0,0.0,1839.07,1894.8,32.175730501937856
2,2014-11-30,19,4487.2221052631585,0.0,8.0,735.37,8417.86,3473.4214628527925
2,2015-01-31,13,1067.4069230769228,0.0,0.0,464.07,4000.0,1304.932878927652
2,2015-02-28,3,1235.2666666666667,0.0,0.0,571.34,1651.18,581.0736326261357
2,2015-03-31,3,4554.22,0.0,1.0,631.33,12400.0,6794.644792503873
2,2015-04-30,24,550.1866666666667,0.0,0.0,400.74,1480.07,236.78447019924306
2,2015-05-31,10,3365.982,0.0,0.0,1011.7,4374.96,1624.6089251796363
2,2015-06-30,22,3966.8550000000005,10.0,6.0,361.52,13358.26,4969.765100836544
2,2015-07-31,32,1393.4206250000002,0.0,2.0,384.75,8500.0,2049.6781947621603
2,2015-08-31,7,768.7300000000001,0.0,0.0,768.73,768.73,0.0
2,2015-10-31,21,4768.4400000000005,0.0,6.0,4600.0,5039.21,188.99493897985735
2,2015-11-30,14,3953.88,0.0,7.0,407.76,7500.0,3679.9826375175694
2,2015-12-31,5,398.19,0.0,0.0,398.19,398.19,0.0
2,2016-01-31,10,3303.6800000000003,0.0,0.0,2973.31,3634.05,348.2405568632759
2,2016-03-31,37,1723.5875675675682,14.0,0.0,288.44,2700.0,1156.4236789040729
2,2016-04-30,6,1098.8483333333336,0.0,0.0,548.55,2700.0,882.9129627639786
2,2016-05-31,9,5475.110000000001,0.0,6.0,1425.33,7500.0,3037.335
2,2016-06-30,7,1243.6171428571429,0.0,0.0,559.0,1621.27,358.6622440734591
2,2016-07-31,1,774.62,0.0,0.0,774.62,774.62,
2,2016-08-31,19,509.5331578947369,0.0,0.0,433.54,693.39,78.76288268895239
2,2016-09-30,46,1640.3063043478264,0.0,0.0,422.5,4724.26,1474.941690863079
2,2016-10-31,10,3686.9759999999997,1.0,5.0,340.01,8900.0,3390.257976618692
2,2016-11-30,56,4442.872321428571,0.0,21.0,390.44,10393.37,4050.457512894962
2,2016-12-31,58,3322.013103448275,0.0,15.0,525.6,26280.36,3944.28302677419
2,2017-01-31,19,1684.8073684210526,2.0,3.0,292.5,6500.0,2205.2608077600908
2,2017-02-28,45,6606.591111111112,0.0,31.0,716.79,13857.83,3785.0442094164996
2,2017-03-31,56,4105.632500000001,1.0,27.0,307.79,9448.52,3389.963750788897
2,2017-04-30,112,1304.0935714285715,20.0,7.0,185.07,9500.0,1991.9875136696915
2,2017-05-31,89,1130.9157303370787,3.0,6.0,353.32,5000.0,1151.450805759341
2,2017-06-30,54,1144.8455555555558,1.0,2.0,371.64,6330.93,1327.2139126269133
2,2017-07-31,145,1917.5425517241385,7.0,17.0,116.66,8633.09,2222.1604655791684
2,2017-08-31,40,954.5200000000001,0.0,0.0,433.01,3165.46,661.98448406172
2,2017-09-30,120,2625.4444166666653,0.0,30.0,385.61,10935.25,3046.20467964406
2,2017-10-31,203,1325.584778325123,1.0,6.0,377.32,10774.63,1502.32595660543
2,2017-11-30,127,1472.8663779527567,1.0,13.0,356.59,7500.0,1804.6658497745038
2,2017-12-31,72,1366.8116666666667,0.0,3.0,408.86,13000.0,2181.931157642271
2,2018-01-31,79,851.3791139240508,7.0,0.0,206.88,3056.54,527.1779754800613
2,2018-02-28,2,700.455,0.0,0.0,509.42,891.49,270.16428788794417
3,2014-08-31,2,420.31,0.0,0.0,420.31,420.31,0.0
3,2014-09-30,3,2647.01,0.0,0.0,2647.01,2647.01,0.0
3,2014-11-30,2,3104.91,0.0,0.0,3104.91,3104.91,0.0
3,2015-04-30,8,1116.24875,7.0,1.0,298.64,6839.51,2312.5467659298265
