id,Commune,Computer Percent,Computer Quantile,Cellular Percent,Cellular Quantile,Rent Percent,Rent Quantile,Immigration Percent,Immigration Quantile,Education Percent,Education Quantile,Owner Percent,Owner Quantile,Regular Percent,Regular Quantile,Uninhabited Percent,Uninhabited Quantile,b_id
32844,6,75.5,6,66.3,0,34.9,7,11.0,5,28.7,3,50.1,2,85.0,3,5.8,7,6.0
32845,6,67.2,3,84.3,1,26.3,4,12.4,6,28.3,3,66.1,7,92.3,8,7.3,8,6.0
32847,15,76.2,7,86.4,3,31.7,6,10.5,5,41.7,6,53.2,3,84.9,3,3.9,5,6.0
32849,15,72.1,5,89.6,7,30.2,5,7.8,2,32.7,4,61.7,6,91.9,8,1.8,2,6.0
32852,15,72.7,5,85.5,2,32.7,6,10.9,5,33.9,4,59.6,5,92.4,8,3.6,5,6.0
32872,15,77.7,7,88.4,6,25.6,3,7.6,2,46.0,7,65.1,7,90.7,7,0.6000000000000001,0,6.0
32882,15,73.6,6,90.8,8,28.5,4,9.8,4,38.7,5,61.1,6,89.6,6,6.4,8,6.0
32890,15,72.5,5,87.6,5,29.7,5,6.5,1,35.7,5,55.2,4,85.0,3,5.3,7,6.0
32892,6,73.1,5,87.2,4,31.3,6,7.0,1,38.5,5,55.0,4,86.3,3,12.4,9,6.0
32910,6,62.8,2,86.0,3,33.7,6,8.8,3,44.2,6,59.7,5,93.4,9,4.6,6,6.0
32911,15,76.6,7,89.8,7,25.7,3,9.6,4,45.7,7,66.1,7,91.8,8,7.8,9,6.0
32949,15,76.2,7,86.3,3,24.1,3,7.8,2,33.4,4,52.4,3,76.5,0,3.3,5,6.0
32964,6,71.8,5,89.2,7,24.1,3,8.9,3,38.2,5,63.1,6,87.3,4,1.1,1,6.0
32977,6,79.1,8,90.4,8,23.0,2,7.1,1,44.5,6,64.6,7,87.6,4,1.7000000000000002,2,6.0
32987,6,74.7,6,87.5,5,24.7,3,8.9,3,41.4,6,59.2,5,83.9,2,1.6,2,6.0
33021,6,80.9,8,93.1,9,28.2,4,11.1,5,39.8,5,50.4,2,78.7,1,2.4,3,6.0
33027,6,73.5,5,88.3,6,28.5,4,8.4,2,41.2,6,63.1,6,91.6,7,5.1,7,6.0
33061,6,75.4,6,85.9,3,26.2,3,6.3,0,42.6,6,55.6,4,81.8,1,4.0,6,6.0
31752,14,72.3,5,92.8,9,32.6,6,25.1,9,32.1,4,42.8,1,75.4,0,6.1,8,6.0
31801,15,71.7,5,89.1,6,24.5,3,10.5,5,29.8,3,50.9,2,75.5,0,1.7000000000000002,2,6.0
31834,15,66.3,3,86.8,4,28.3,4,11.2,5,32.5,4,60.5,5,88.8,5,2.3,3,6.0
31894,15,67.5,3,85.4,2,36.4,7,8.8,3,30.1,3,49.0,2,85.4,3,0.2,0,6.0
31915,15,67.5,3,88.0,5,40.1,8,20.5,8,25.6,2,47.8,2,88.0,4,0.7000000000000001,0,6.0
31931,15,64.0,2,90.5,8,30.0,5,13.8,7,28.9,3,46.6,2,76.7,0,3.8,5,6.0
31937,14,77.2,7,90.8,8,36.7,7,13.9,7,40.4,6,50.3,2,87.1,4,5.5,7,6.0
31963,15,74.6,6,88.6,6,29.8,5,8.7,3,44.1,6,42.1,1,71.9,0,4.7,6,6.0
31979,14,82.0,9,87.3,4,33.1,6,14.2,7,49.0,7,61.6,6,94.7,9,6.0,8,6.0
32043,15,71.6,5,88.2,6,20.8,2,12.6,6,39.0,5,69.5,8,90.3,6,5.0,7,6.0
32058,15,76.8,7,83.8,1,26.5,4,12.8,6,39.3,5,63.6,6,90.1,6,4.6,6,6.0
32059,15,73.5,5,90.0,7,37.5,7,19.4,8,30.1,3,54.7,3,92.2,8,3.5,5,6.0
32063,14,76.3,7,89.9,7,32.2,6,11.5,5,47.9,7,57.4,4,89.7,6,4.4,6,6.0
32070,15,69.8,4,88.0,5,37.0,7,11.0,5,33.4,4,46.8,2,83.8,2,3.8,5,6.0
32084,15,57.1,1,84.9,2,40.9,8,19.8,8,14.4,1,38.9,0,79.8,1,1.4,1,6.0
32109,15,75.2,6,90.2,8,34.2,6,6.4,0,34.6,4,50.9,2,85.0,3,2.3,3,6.0
32114,15,72.8,5,87.3,4,36.7,7,9.0,3,34.3,4,52.8,3,89.5,6,3.1,4,6.0
32128,15,63.4,2,82.6,0,45.1,9,8.4,2,24.7,2,42.1,1,87.2,4,2.6,3,6.0
32135,15,78.5,8,91.4,8,21.1,2,10.9,5,32.3,4,53.9,3,75.0,0,3.5,5,6.0
32139,15,73.2,5,85.5,2,34.3,6,8.8,3,40.2,5,52.8,3,87.1,4,5.9,8,6.0
32151,15,81.2,8,92.3,9,23.8,3,13.4,6,44.8,6,56.7,4,80.5,1,7.0,8,6.0
32155,14,70.5,4,87.9,5,32.7,6,12.0,6,41.8,6,53.0,3,85.8,3,2.0,2,6.0
32163,15,71.7,5,89.4,7,29.4,5,12.6,6,34.1,4,61.4,6,90.8,7,0.8,0,6.0
32182,15,75.7,6,87.1,4,36.5,7,13.2,6,40.9,6,48.5,2,85.1,3,4.6,6,6.0
32197,15,70.1,4,87.2,4,40.7,8,11.3,5,38.2,5,38.7,0,79.4,1,4.3,6,6.0
32199,14,71.3,5,86.9,4,29.0,5,6.3,0,42.9,6,59.0,5,88.0,4,4.8,7,6.0
32213,15,56.0,1,84.0,1,33.6,6,20.7,8,17.4,1,41.4,1,75.0,0,0.9,1,6.0
32215,15,79.2,8,86.3,3,38.2,7,12.3,6,38.2,5,51.4,3,89.6,6,4.1,6,6.0
32223,15,69.8,4,89.8,7,29.0,5,11.0,5,35.9,5,57.6,4,86.5,3,1.6,2,6.0
32231,15,73.3,5,83.6,1,34.7,7,12.4,6,34.2,4,35.1,0,69.8,0,1.9,2,6.0
32232,15,73.3,5,86.9,4,31.4,6,10.5,5,38.4,5,54.7,3,86.0,3,1.4,1,6.0
32243,15,75.4,6,88.6,6,32.7,6,7.1,1,43.1,6,59.6,5,92.3,8,3.2,4,6.0
