id,AREA,Commune,DEPTO,FRAC,Computer Percent,Computer Quantile,Cellular Percent,Cellular Quantile,Rent Percent,Rent Quantile,LINK,Immigration Percent,Immigration Quantile,Education Percent,Education Quantile,PERIMETER,Owner Percent,Owner Quantile,PROV,RADIO,RADPAIS_,REDCODE,Regular Percent,Regular Quantile,TIPO,Uninhabited Percent,Uninhabited Quantile,coordinates,type
34097,37955.63,10,10.0,13.0,67.5,3,85.9,3,23.5,2,,7.8,2,24.0,2,851.803,65.9,7,2.0,2.0,34097.0,20101302.0,89.4,6,,2.5,3,"[[[-58.49385, -34.62656], [-58.49379, -34.62669], [-58.49335, -34.62766], [-58.49404, -34.62795], [-58.49474, -34.62825], [-58.49587, -34.62873], [-58.49628, -34.62842], [-58.49643, -34.6283], [-58.49695, -34.62789], [-58.49653, -34.6277], [-58.49642, -34.62766], [-58.49523, -34.62715], [-58.49508, -34.62708], [-58.49421, -34.62671], [-58.49385, -34.62656]]]",Polygon
29999,35652.63,13,13.0,1.0,73.1,5,88.6,6,22.0,2,,12.2,6,48.2,7,858.839,62.4,6,2.0,12.0,29999.0,20130112.0,84.5,2,,1.6,2,"[[[-58.47106, -34.54121], [-58.47051, -34.54195], [-58.47145, -34.54242], [-58.47269, -34.54301], [-58.47323, -34.54227], [-58.47379, -34.54153], [-58.47257, -34.54091], [-58.47199, -34.54168], [-58.47172, -34.54155], [-58.47106, -34.54121]]]",Polygon
34098,32826.25,6,6.0,16.0,77.6,7,88.0,5,18.6,1,,5.9,0,46.8,7,739.482,72.5,9,2.0,5.0,34098.0,20061605.0,91.1,7,,0.9,1,"[[[-58.43773, -34.6232], [-58.4372, -34.62324], [-58.43693, -34.62324], [-58.43656, -34.62324], [-58.43625, -34.62321], [-58.43622, -34.62456], [-58.43741, -34.62467], [-58.43771, -34.62471], [-58.43795, -34.62473], [-58.43834, -34.62477], [-58.43845, -34.62366], [-58.4385, -34.62313], [-58.43773, -34.6232]]]",Polygon
34099,70590.31,10,10.0,4.0,69.2,4,85.7,3,21.0,2,,7.7,2,30.3,3,1256.295,69.2,8,2.0,5.0,34099.0,20100405.0,90.2,6,,1.5,1,"[[[-58.51638, -34.62845], [-58.51592, -34.62881], [-58.51564, -34.62902], [-58.51623, -34.62937], [-58.5164, -34.62947], [-58.51721, -34.62993], [-58.51734, -34.63], [-58.51829, -34.63054], [-58.51928, -34.63169], [-58.51964, -34.63053], [-58.52006, -34.62917], [-58.5201, -34.62907], [-58.51889, -34.62882], [-58.51743, -34.62851], [-58.51749, -34.62847], [-58.51696, -34.628], [-58.51638, -34.62845]]]",Polygon
34101,14527.19,6,6.0,12.0,67.3,3,84.6,2,36.1,7,,9.6,4,37.1,5,487.164,47.6,2,2.0,12.0,34101.0,20061212.0,83.7,2,,3.1,4,"[[[-58.45353, -34.62407], [-58.453, -34.62523], [-58.45403, -34.62563], [-58.45457, -34.62448], [-58.45353, -34.62407]]]",Polygon
34104,21012.88,3,3.0,21.0,60.4,1,87.0,4,43.4,8,,12.7,6,32.3,4,576.055,41.3,1,2.0,4.0,34104.0,20032104.0,84.7,2,,5.4,7,"[[[-58.39162, -34.62022], [-58.3916, -34.62054], [-58.39156, -34.62156], [-58.39311, -34.62163], [-58.39316, -34.62046], [-58.39313, -34.62034], [-58.39309, -34.62032], [-58.39185, -34.62024], [-58.39162, -34.62022]]]",Polygon
34105,20366.63,1,1.0,20.0,61.4,1,83.5,1,44.6,9,,12.5,6,32.4,4,572.183,47.9,2,2.0,6.0,34105.0,20012006.0,92.5,8,,1.8,2,"[[[-58.3902, -34.62013], [-58.39018, -34.62029], [-58.39003, -34.62147], [-58.39025, -34.62149], [-58.39156, -34.62156], [-58.3916, -34.62054], [-58.39162, -34.62022], [-58.39131, -34.6202], [-58.3904, -34.62015], [-58.3902, -34.62013]]]",Polygon
34106,18334.25,1,1.0,20.0,65.7,3,87.4,5,28.0,4,,12.6,6,25.7,2,544.59,59.4,5,2.0,7.0,34106.0,20012007.0,87.4,4,,16.9,9,"[[[-58.38884, -34.62005], [-58.38883, -34.62024], [-58.38874, -34.62139], [-58.39003, -34.62147], [-58.39018, -34.62029], [-58.3902, -34.62013], [-58.38884, -34.62005]]]",Polygon
32917,16119.38,5,5.0,9.0,74.2,6,88.8,6,22.7,2,,10.0,4,42.4,6,508.631,49.6,2,2.0,1.0,32917.0,20050901.0,72.2,0,,1.9,2,"[[[-58.41803, -34.60347], [-58.41809, -34.60385], [-58.41821, -34.60454], [-58.41964, -34.60436], [-58.41951, -34.60332], [-58.41803, -34.60347]]]",Polygon
34107,36266.0,1,1.0,21.0,54.1,1,87.3,4,52.0,9,,20.5,8,25.7,2,823.724,39.9,1,2.0,7.0,34107.0,20012107.0,91.8,8,,2.1,2,"[[[-58.38583, -34.61987], [-58.38582, -34.62005], [-58.38583, -34.62116], [-58.38584, -34.62133], [-58.38584, -34.62239], [-58.38685, -34.62244], [-58.38718, -34.62247], [-58.38721, -34.62144], [-58.3872, -34.62126], [-58.38722, -34.62114], [-58.38732, -34.61996], [-58.38718, -34.61994], [-58.38602, -34.61988], [-58.38583, -34.61987]]]",Polygon
30009,104204.8,12,12.0,3.0,73.0,5,87.4,5,16.7,0,,8.9,3,28.6,3,1479.065,73.3,9,2.0,3.0,30009.0,20120303.0,90.0,6,,1.3,1,"[[[-58.48362, -34.54202], [-58.48334, -34.5419], [-58.48318, -34.54213], [-58.48311, -34.54223], [-58.4831, -34.54226], [-58.48284, -34.54261], [-58.4823, -34.54334], [-58.48171, -34.54411], [-58.48265, -34.54459], [-58.48358, -34.54508], [-58.48299, -34.54584], [-58.48391, -34.54632], [-58.4845, -34.54556], [-58.48508, -34.54479], [-58.48567, -34.54401], [-58.48596, -34.54382], [-58.48613, -34.54371], [-58.48625, -34.54361], [-58.48637, -34.54351], [-58.48649, -34.5434], [-58.48657, -34.54332], [-58.48671, -34.54321], [-58.48649, -34.54311], [-58.48636, -34.54307], [-58.48627, -34.54306], [-58.48619, -34.54306], [-58.48612, -34.54307], [-58.48606, -34.54309], [-58.48362, -34.54202]]]",Polygon
34108,20870.75,1,1.0,20.0,53.2,0,91.7,9,61.5,9,,20.6,8,23.9,2,578.101,29.4,0,2.0,8.0,34108.0,20012008.0,90.8,7,,20.8,9,"[[[-58.38732, -34.61996], [-58.38722, -34.62114], [-58.3872, -34.62126], [-58.38746, -34.62128], [-58.38853, -34.62137], [-58.38874, -34.62139], [-58.38883, -34.62024], [-58.38884, -34.62005], [-58.38743, -34.61996], [-58.38732, -34.61996]]]",Polygon
30010,51397.63,13,13.0,2.0,88.2,9,94.2,9,23.0,2,,7.0,1,62.3,9,1071.6,69.4,8,2.0,5.0,30010.0,20130205.0,92.4,8,,4.1,6,"[[[-58.46382, -34.5407], [-58.46336, -34.54137], [-58.46318, -34.54159], [-58.46322, -34.54166], [-58.46328, -34.54175], [-58.46371, -34.54245], [-58.46389, -34.54277], [-58.4642, -34.54337], [-58.46425, -34.5435], [-58.46438, -34.54391], [-58.46465, -34.54476], [-58.46467, -34.54472], [-58.46486, -34.54423], [-58.46489, -34.54416], [-58.46503, -34.54378], [-58.46514, -34.5435], [-58.46517, -34.54342], [-58.46531, -34.54305], [-58.46549, -34.54262], [-58.46552, -34.54253], [-58.46565, -34.54219], [-58.46582, -34.54181], [-58.46585, -34.54173], [-58.46563, -34.54161], [-58.46469, -34.54114], [-58.46382, -34.5407]]]",Polygon
34109,38029.0,6,6.0,21.0,75.3,6,90.7,8,33.7,6,,8.8,3,45.7,7,800.53,59.7,5,2.0,3.0,34109.0,20062103.0,93.4,9,,4.4,6,"[[[-58.43215, -34.62277], [-58.43196, -34.62347], [-58.43179, -34.62416], [-58.43199, -34.62418], [-58.43312, -34.62431], [-58.43448, -34.62446], [-58.4346, -34.62329], [-58.43466, -34.62305], [-58.43341, -34.62291], [-58.43284, -34.62285], [-58.43215, -34.62277]]]",Polygon
34110,38248.25,1,1.0,21.0,65.4,2,86.9,4,40.9,8,,12.5,6,27.3,3,833.664,51.1,3,2.0,8.0,34110.0,20012108.0,92.0,8,,7.4,8,"[[[-58.38434, -34.6198], [-58.38436, -34.61997], [-58.38435, -34.62105], [-58.38434, -34.62124], [-58.38439, -34.62232], [-58.38477, -34.62233], [-58.38584, -34.62239], [-58.38584, -34.62133], [-58.38583, -34.62116], [-58.38582, -34.62005], [-58.38583, -34.61987], [-58.38564, -34.61986], [-58.38458, -34.61982], [-58.38434, -34.6198]]]",Polygon
