index,Name,Longitude,Latitude,Type,b_id
16,ALIANZA FRANCESA DE BUENOS AIRES (SEDE CORDOBA),-58.38022917,-34.59907222,cultural center,43
17,ALMAGESTO,-58.39129315,-34.60245733,cultural center,43
18,AM 750,-58.37150421,-34.61363555,cultural center,36
19,AMERICAN BAR,-58.37536095,-34.607122,cultural center,43
20,AMORRORTU EDITORES,-58.38446785,-34.59807859,cultural center,35
21,ANDAMIO 90,-58.38812352,-34.6010403,cultural center,43
22,ANSWER JUST TIME S.R.L.,-58.37984738,-34.59668691,cultural center,35
23,ANTICUARIA POEMA 20,-58.37829518,-34.59808426,cultural center,35
24,ANTICUARIO LORD BYRON,-58.38418825,-34.59756957,cultural center,35
25,ANTIDOTO EDITORIAL,-58.38451844,-34.61669316,cultural center,36
26,ANTIGUA,-58.38297762,-34.60851114,cultural center,43
27,APLICACION TRIBUTARIA S.A.,-58.38879624,-34.60071776,cultural center,43
28,APPETITE CONTEMPOPORARY ART,-58.37610163,-34.61448383,cultural center,36
29,ARCA DIFUSION,-58.37695514,-34.59733121,cultural center,35
30,ARCHIVO GENERAL DE LA NACION,-58.37033339,-34.60478611,cultural center,43
31,ARCHIVO GENERAL DE LA NACION - ARCHIVO INTERMEDIO,-58.36847137,-34.62051371,cultural center,41
32,ARCHIVO TECNICO DE LA SECRETARIA DE ENERGIA,-58.3697039,-34.60927675,cultural center,36
33,"ARCHIVO Y MUSEO HISTORICOS DEL BANCO DE LA PROVINCIA DE BUENOS AIRES  ""DR. ARTURO JAURETCHE""",-58.37193114,-34.60434981,cultural center,43
34,AREA DE DOCUMENTACION Y ARCHIVOS CENTRO DE ESTUDIOS LEGALES Y SOCIALES,-58.377544799999995,-34.61459392,cultural center,36
35,ARLEQUINO,-58.3871424,-34.61119372,cultural center,36
36,ARTEAR,-58.38149571,-34.62292372,cultural center,38
37,ARTE CINEMA ESPACIO INCAA KM3,-58.38278757,-34.6271447,cultural center,38
38,ARTNOVELA EDICIONES,-58.36625931,-34.61053825,cultural center,48
39,ASAMBLEA PERMANENTE POR LOS DERECHOS HUMANOS,-58.39240928,-34.60245573,cultural center,43
40,ASOCIACION CENTRO BETANZOS,-58.38799983,-34.6147192,cultural center,36
41,ASOCIACION DANTE ALIGHIERI DE BUENOS AIRES (SEDE TUCUMAN),-58.39018576,-34.60188292,cultural center,43
42,ASOCIACION ITALIANA DE MUTUALIDAD E INSTRUCCION UNIONE E BENEVOLENZA,-58.38582234,-34.60643359,cultural center,43
43,ASOCIACION PROFESIONALES DE MEDIOS,-58.37386383,-34.6022467,cultural center,43
44,ASTERISCO,-58.37718213,-34.6011237,cultural center,43
45,ASTREA EDITORIAL,-58.38404373,-34.60276009,cultural center,43
46,ASTROS,-58.37727902,-34.60352393,cultural center,43
47,ASUNTO IMPRESO,-58.38538997,-34.60684647,cultural center,43
48,ASUNTO IMPRESO EDICIONES,-58.38535835,-34.60735636,cultural center,43
49,ASUNTO IMPRESO. SUCURSAL PERU.,-58.37419339,-34.62035038,cultural center,41
50,ATLAS PATIO BULLRICH,-58.38340148,-34.58810114,cultural center,35
51,AUDITORIO DE LA FUNDACION BEETHOVEN,-58.385487,-34.592856899999994,cultural center,35
52,AUDITORIO LOSADA,-58.38865419,-34.604161299999994,cultural center,43
53,AVA RECORDS,-58.38076386,-34.60653983,cultural center,43
54,BAJO CORRIENTES,-58.389864100000004,-34.60433898,cultural center,43
55,BALLETIN DANCE,-58.37975282,-34.61064755,cultural center,36
56,"BANCO CENTRAL DE LA REPUBLICA ARGENTINA - BIBLIOTECA ""RAUL PRESBICH""",-58.37238758,-34.60502349,cultural center,43
57,BARBARO - BAR O BAR,-58.37319366,-34.59788884,cultural center,35
58,BAR BRITANICO,-58.37083484,-34.62530893,cultural center,41
59,BAR EL FEDERAL,-58.37131154,-34.6194589,cultural center,41
60,BAR IBERIA,-58.3832978,-34.6092602,cultural center,36
61,BAR LONDON CITY,-58.37473569,-34.60851023,cultural center,36
62,BAR PLAZA DORREGO,-58.37139071,-34.62055305,cultural center,41
63,BARRY EDITORIAL,-58.38539574,-34.60116429,cultural center,43
64,BAR SEDDON,-58.37175534,-34.61591838,cultural center,36
65,BAR SUR,-58.37002532,-34.61839072,cultural center,41
66,BARTOLOMEO,-58.38832417,-34.60771898,cultural center,43
67,BELISARIO CLUB DE CULTURA,-58.38974654,-34.6043295,cultural center,43
68,BERNIE,-58.38929482,-34.60560716,cultural center,43
69,BIBLIOTECA AIDIS ASOCIACION INTERAMERICANA DE INGENIERIA SANITARIA Y CIENCIAS DEL AMBIENTE,-58.38865008,-34.61369926,cultural center,36
70,BIBLIOTECA ALFONSINA STORNI,-58.3881375,-34.61472016,cultural center,36
71,"BIBLIOTECA ALVEAR ""R.P. ERNESTO DANN OBREGON S.J"" UNIVERSIDAD DEL SALVADOR",-58.38585179999999,-34.59702438,cultural center,35
72,BIBLIOTECA ANTARTIDA,-58.38291588,-34.59364013,cultural center,35
73,BIBLIOTECA AUDITORIA GENERAL DE LA NACION,-58.38388105,-34.60982483,cultural center,36
74,"BIBLIOTECA ""BIALET MASSE""",-58.37084325,-34.60000624,cultural center,43
75,BIBLIOTECA CENTRAL DE LA UNIVERSIDAD AUSTRAL,-58.36733921,-34.62396997,cultural center,41
76,BIBLIOTECA CENTRAL DEL ESTADO MAYOR CONJUNTO DE LAS FUERZAS ARMADAS,-58.36982401,-34.61067597,cultural center,36
77,"BIBLIOTECA CENTRAL Y CENTRO DE DOCUMENTACION ""PERITO FRANCISCO P. MORENO""",-58.37669889,-34.59604229,cultural center,35
78,BIBLIOTECA CENTRO DE ESTUDIOS PARA LA NUEVA MAYORIA,-58.37939972,-34.61847187,cultural center,38
79,BIBLIOTECA CENTTRO LINCOLN INSTITUTO CULTURAL ARGENTINO NORTEAMERICANO,-58.37682743,-34.60027006,cultural center,43
80,BIBLIOTECA CIRCE - BIBLIOTECA TESORO,-58.38912806,-34.59953269,cultural center,43
81,BIBLIOTECA COLEGIO NACIONAL BUENOS AIRES,-58.373438799999995,-34.61099094,cultural center,36
82,"BIBLIOTECA DE DEFENSA ""GENERALA JUANA AZURDUY""",-58.36812627,-34.61094621,cultural center,36
83,BIBLIOTECA DE LA COMISION NACIONAL DE COMERCIO EXTERIOR,-58.36982282,-34.61090014,cultural center,36
84,BIBLIOTECA DE LA COMISION NACIONAL DE COMUNICACIONES,-58.37418195,-34.61487465,cultural center,36
85,BIBLIOTECA DE LA DIRECCION NACIONAL DE VIALIDAD,-58.37644371,-34.61193073,cultural center,36
86,BIBLIOTECA DE LA ESCUELA NORMAL SUPERIOR N�3 BERNARDINO RIVADAVIA,-58.37280778,-34.62240931,cultural center,41
87,BIBLIOTECA DE LA FUNDACION PODER CIUDADANO,-58.3774601,-34.61478381,cultural center,36
88,BIBLIOTECA DE LA SUPERINTENDENCIA DE RIESGOS DEL TRABAJO,-58.37728366,-34.60698521,cultural center,43
89,BIBLIOTECA DE LA UNION INDUSTRIAL ARGENTINA,-58.38279614,-34.60906993,cultural center,36
90,BIBLIOTECA DE LA UNIVERSIDAD ARGENTINA DE LA EMPRESA,-58.38159946,-34.61707518,cultural center,36
91,BIBLIOTECA DEL CENTRO DE ECONOMIA INTERNACIONAL (CEI),-58.37859849,-34.59374771,cultural center,35
92,BIBLIOTECA DEL COLEGIO DE ABOGADOS DE LA CIUDAD DE BUENOS AIRES,-58.38959556,-34.60144442,cultural center,43
93,BIBLIOTECA DEL COLEGIO NACIONAL BUENOS AIRES,-58.373438799999995,-34.61099094,cultural center,36
94,BIBLIOTECA DEL CONSEJO NACIONAL DE LA MUJER,-58.36982282,-34.61090014,cultural center,36
95,BIBLIOTECA DEL GOETHE INSTITUTO BUENOS AIRES,-58.37159789,-34.60300726,cultural center,43
96,BIBLIOTECA DEL INSTITUTO NACIONAL DE ESTADISTICA Y CENSOS (INDEC),-58.37495252,-34.61028795,cultural center,36
97,BIBLIOTECA DEL INSTITUTO NACIONAL DE LA PROPIEDAD INDUSTRIAL (I.N.P.I.),-58.36960808,-34.6162639,cultural center,41
98,"BIBLIOTECA DEL INSTITUTO NACIONAL DE MUSICOLOGIA ""CARLOS VEGA""",-58.37410968,-34.61493453,cultural center,36
99,BIBLIOTECA DEL INSTITUTO SUPERIOR EN LENGUAS VIVAS,-58.38130028,-34.59031766,cultural center,35
100,"BIBLIOTECA DE MUSICA ARGENTINA ""BLAS PARERA"". SADAIC",-58.38864392,-34.60289268,cultural center,43
101,"BIBLIOTECA DE SEGURIDAD SOCIAL ""DR. RICARDO MOLES""",-58.37057667,-34.6149896,cultural center,36
