index,Name,Longitude,Latitude,Type,b_id
24,Federación de Cestoball de Capital Federal,-58.46366917231,-34.5419750675278,sports club,2
25,Federación Argentina de Futbol Silencioso,-58.4572307403131,-34.619187180926396,sports club,19
26,Asociación de Patinadores Metropolitanos,-58.3875054836623,-34.598502201509994,sports club,44
27,Federación Argentina de Netball,-58.48825443465321,-34.6221131217858,sports club,8
28,Federación Metropolitana de  Pelota,-58.4511821844434,-34.6128668826196,sports club,11
29,Federación Argentina de Voleibol de Sordos,-58.50671085948001,-34.5939457103483,sports club,23
30,Federación Argentina de Patinaje sobre Hielo,-58.48358554704821,-34.5464165877141,sports club,15
31,Asociación Civil Escuela Metropolitana Hockey Sobre Hielo,-58.4792824337753,-34.6531915422143,sports club,10
32,Federación Argentina de Triatlón,-58.386785466649705,-34.6113121983992,sports club,36
33,Federación Metropolitana de Gimnasia,-58.3725544946634,-34.6223345949692,sports club,41
34,Federación de Natación de Buenos Aires,-58.3889578122075,-34.6027945295684,sports club,43
35,Asociación Softbol de Buenos Aires,-58.51042087076549,-34.633284619872,sports club,20
36,Federación de Esgrima de la Ciudad de Buenos Aires,-58.373126249684496,-34.612039186995204,sports club,36
37,Federación Metropolitana de Judo,-58.3838974213414,-34.6043714538029,sports club,43
38,Federación Argentina de Centros Comunitarios Macabeos,-58.3984538107897,-34.605854013210305,sports club,4
39,Federación Argentina de Tiro con Arco,-58.38427190196939,-34.6122934266405,sports club,36
40,Asociación Amateur de Hockey sobre Cesped de Buenos Aires (A.A.H.B.A),-58.38589990505321,-34.6129863767001,sports club,36
41,Federación Metropolitana de Bowling,-58.46512011313911,-34.641213013705205,sports club,19
42,Federación Regional de Basquetbol de Capital Federal,-58.393301285773404,-34.6214596771092,sports club,5
43,Federación Argentina de Deportes para personas con Discapacidad Mental,-58.484179572771794,-34.615497307184704,sports club,31
0,Plaza Alberdi,-58.501437779774704,-34.6602235262605,skate park,18
1,Parque Centenario,-58.4339664854988,-34.6075822975112,skate park,11
2,Plazoleta Maimonides,-58.3990291405528,-34.5994903328057,skate park,4
3,Plaza Haití,-58.421275955351,-34.5685133653225,skate park,0
4,Plazoleta Roffo,-58.50501566080361,-34.6018976073805,skate park,23
5,Polo Circo,-58.3930713822566,-34.6284401808356,skate park,40
